ID,Tweet,Sentiment,Time,Age,Country,Population -2020,Land Area (KmÂ²),Density (P/KmÂ²),Ground Truth,Predictions,Match
a3527a3ccc,j sorry bad night hopefully workout updates gave little humor night,neutral,morning,46-60,Solomon Islands,686884,28000,25,sadness,['sadness'],True
28b70015d2,energy steadily increasing thankfully cough going away,neutral,night,70-100,Uzbekistan,33469203,425400,79,sadness,['sadness'],True
20771a6d9a,anyone looking vinylclad playset  year mfr warranty  slides  swing slots rock climbing wall more amish built,neutral,morning,46-60,Congo (Congo-Brazzaville),5518087,342000,16,happiness,['df'],False
6beb4754f0,agree everybody wouldve excited goes ohhhh nooooo ms screws again,neutral,morning,46-60,Cuba,11326616,106440,106,sadness,['sadness'],True
89e4eed832,one yet hopefully ill ponying one soon  definitely hitting wall,neutral,night,70-100,Uzbekistan,33469203,425400,79,sadness,['sadness'],True
9ccb1bcd26,ha thats good thats love boys cos never stir hatred mighty red scum everyone loves city,positive,noon,60-70,Fiji,896445,18270,49,happiness,['happiness'],True
2ef487bd7d,last night long drive slept really well time dinos wasstraat,positive,noon,60-70,Somalia,15893222,627340,25,happiness,['happiness'],True
da769e9be5,dear god hope save it ssibleprojectcom,positive,morning,0-20,Norway,5421241,365000,15,fear,['fear'],True
bc21202d07,soooo sleepy gotta finish game lol gettt cavs whoop whoop,neutral,night,70-100,Maldives,540544,300,1802,happiness,['happiness'],True
f172eab046,used ozzy osbourne pillow mom threw out miss thing,negative,night,70-100,Tonga,105695,720,147,sadness,['sadness'],True
e41ae07da9,twitter useful reminds people forgot ask given day also excellent inspiration,negative,night,31-45,Algeria,43851044,2381740,18,happiness,['happiness'],True
9f85050671,waiting long line chickfila,neutral,morning,0-20,Benin,12123200,112760,108,sadness,['sadness'],True
d5ebd5f984,win  sigh rakeem,positive,night,31-45,Australia,25499884,7682300,3,df,['df'],True
6bd4a0b146,heading home sacramento continue writing windows server  r unleashed book weekend sigh windows,neutral,night,31-45,Maldives,540544,300,1802,df,['df'],True
0d85e6d515,done disneyland kids knocked out stopped hotel bar grabbed grey goose  tonic way uppeace,positive,night,31-45,Lesotho,2142249,30360,71,happiness,['happiness'],True
325f5384f6,mcdonalds make pineapple pies,neutral,night,31-45,Tonga,105695,720,147,sadness,['sadness'],True
9321f3b74b,welcome,positive,noon,60-70,Fiji,896445,18270,49,df,['df'],True
d8867e4d4e,im posh enough read tatler,neutral,noon,60-70,Sudan,43849260,1765048,25,sadness,['sadness'],True
b333707153,also proof number  life  imaginary boyfriend named vince sad friends encourage so,negative,night,70-100,Saint Lucia,183627,610,301,sadness,['sadness'],True
ae46261e69,confused do,neutral,night,70-100,Mexico,128932753,1943950,66,df,['df'],True
4bf8205ece,hey sorry late replybut plan posting facebook twitpic,negative,night,70-100,Maldives,540544,300,1802,df,['sadness'],False
2a7ced36f3,last song american rejects amazing song,positive,night,31-45,Turkey,84339067,770000,110,happiness,['happiness'],True
f87ca95b1d,joe put new bulb spotlight,neutral,morning,0-20,Georgia,3989167,69490,57,happiness,['happiness'],True
7a863bc462,watched wolverine yesterday  spur moment kinda thing awesome proud south african director,positive,noon,60-70,Somalia,15893222,627340,25,happiness,['happiness'],True
21262aff48,thanks hoping allergies nasty flu,positive,noon,21-30,North Korea,25778816,120410,214,fear,['fear'],True
1608eddffc,ok sister going camping im mad work tomorrow fun,neutral,night,70-100,San Marino,33931,60,566,anger,['happiness'],False
cc6aa5d2b3,stamford,neutral,noon,21-30,Kyrgyzstan,6524195,191800,34,df,['df'],True
b74a9b6a6b,want wish happy mothers day two favorite moms world mom course sister happy moms day two,positive,night,31-45,Belize,397628,22810,17,happiness,['happiness'],True
80a43d94a8,hey jkwish evenlyn happy mothers day tomora mei great day gift tickets see yas ere oz,positive,night,70-100,Liechtenstein,38128,160,238,happiness,['happiness'],True
73e548424b,missed math trade,negative,morning,0-20,Cambodia,16718965,176520,95,sadness,['sadness'],True
97a44eeb2c,sure ill chat sec heres thread ,neutral,noon,21-30,Iran,83992949,1630000,52,df,['df'],True
2a20862961,raining past days actually sunny today well little while super cloudy,neutral,noon,21-30,Belgium,11589623,30280,383,sadness,['sadness'],True
95e24ff91a,ie nearing  according stats ff  adoption rate amazes,positive,morning,0-20,Sweden,10099265,410340,25,df,['df'],True
5eaa57f29f,gardening stuff ordered got returned sender damage need work get garden centre,negative,night,31-45,Slovenia,2078938,20140,103,sadness,['sadness'],True
811ac4eeca,one lane stop go trafffffffic suckssss almost wwork thanks  miinnnesota roads,negative,night,31-45,Bolivia,11673021,1083300,11,anger,['happiness'],False
165bcbe519,yes wanna come hang htown gurl u know whats up haha itll bangin gotta hang chick,positive,morning,0-20,Lithuania,2722289,62700,43,happiness,['happiness'],True
2ebb6270b5,yucky time bring vaccuum go war house always spider reason cool,negative,night,70-100,Marshall Islands,59190,180,329,disgust,['disgust'],True
f591304aec,thought saw atrak van turns alcohol team van,neutral,night,31-45,Iraq,40222493,434320,93,df,['df'],True
b7a6df7f96,leaving work  cant get soon enough hope everyone great day,positive,morning,0-20,Greece,10423054,128900,81,sadness,['sadness'],True
ee5b47b5a9,know exactly saying cool tapes better p,neutral,night,31-45,Panama,4314767,74340,58,df,['df'],True
ceee292ebc,gah im jittery upset absolutely reason,negative,noon,60-70,Myanmar (formerly Burma),54409800,653290,83,sadness,['sadness'],True
922777ecbd,soo happy today  going home bit sucks  meeting everyone aceness extreme lol cheesy p,neutral,morning,46-60,Bosnia and Herzegovina,3280819,51000,64,happiness,['happiness'],True
9694a4db08,yeahi guess dont get company weekend wants come hang out,neutral,noon,21-30,Costa Rica,5094118,51060,100,sadness,['happiness'],False
48a2a08d55,_pills punching bag here ive never touched it covered brothers sweat u use u want hehe,neutral,morning,0-20,South Korea,51269185,97230,527,disgust,['disgust'],True
e1120cc659,yeah replied meant take photo drink laaazy didnt x,neutral,morning,46-60,Micronesia,115023,700,164,sadness,['df'],False
e924fb4417,oh do bring soufflãâãâãâ½ home im full delicious one philly favs,positive,night,70-100,Vietnam,97338579,310070,314,happiness,['happiness'],True
e256f4abbd,aww typing beyond graveimpressive,positive,morning,0-20,Mauritania,4649658,1030700,5,df,['df'],True
17d1a66db4,kickboxing classes today pretty bummed still going work hard ,negative,noon,21-30,Holy See,801,0,2003,sadness,['sadness'],True
ef22d695fd,im u need vent,positive,night,31-45,Finland,5540720,304000,18,happiness,['happiness'],True
5a9e4ad38a,listening music super juniors korea like way sing dance hope someday meet them,positive,noon,60-70,Albania,2877797,27400,105,happiness,['happiness'],True
3ab87ba2c0,_dig late see missed great time donnys birthday remember call monday,neutral,noon,21-30,Costa Rica,5094118,51060,100,df,['df'],True
882d9426d0,_willhoit hoping ac fixed right you,positive,morning,0-20,Lithuania,2722289,62700,43,happiness,['happiness'],True
a8da7904ac,great date last nighttried find cdcaves daniel hilariously fun,positive,noon,60-70,Colombia,50882891,1109500,46,happiness,['happiness'],True
013854711a,thanks shir got caught commission get amazoncom gift certificates take one,positive,night,31-45,Bolivia,11673021,1083300,11,df,['df'],True
545b1b920b,well poop guitar lesson canceled today im sad hope son feels better soon tho,neutral,noon,60-70,Estonia,1326535,42390,31,sadness,['sadness'],True
a3c03380ec,courtney seems like cool chick  shes pretty,positive,morning,46-60,Qatar,2881053,11610,248,happiness,['happiness'],True
49d301ec0d,want leave secretly know australia twenty times better america,positive,night,70-100,Suriname,586632,156000,4,sadness,['sadness'],True
e17b606c9c,whoishonorsociety never wear pajama pants school ,neutral,noon,60-70,Albania,2877797,27400,105,disgust,['disgust'],True
6899e9aa17,waaa octo drive cant go,negative,noon,21-30,Chad,16425864,1259200,13,sadness,['sadness'],True
0e1dbb950b,babysitting hubby cam cam,neutral,noon,60-70,Slovakia,5459642,48088,114,df,['df'],True
d1983228a6,twitter spam oh,neutral,morning,46-60,Mozambique,31255435,786380,40,sadness,['sadness'],True
c675e8a554,oh yes happy star wars day may fourth you,positive,noon,21-30,Oman,5106626,309500,16,happiness,['happiness'],True
d55030a05e,best weekend ever xxxxxxxxxxxxxxxxxxxxxx,positive,night,31-45,Italy,60461826,294140,206,happiness,['happiness'],True
dd62e0b336,stomach hurts bad,negative,morning,46-60,Burundi,11890784,25680,463,sadness,['sadness'],True
cc73efff2b,song slap face  ,negative,noon,60-70,Palestine State,5101414,6020,847,df,['df'],True
e2f74fa54c,invited one beach short notice mean hell tell hrs before really,neutral,noon,21-30,Venezuela,28435940,882050,32,anger,['anger'],True
40bd163bda,today going long day,neutral,noon,21-30,Romania,19237691,230170,84,sadness,['happiness'],False
b8a77cd14c,oks yes infact chatted earlier nbin well,neutral,night,31-45,Belize,397628,22810,17,df,['df'],True
e97f62830d, am wanna wake up shoo roommate shoo,neutral,morning,0-20,Micronesia,115023,700,164,sadness,['sadness'],True
2b6017f8f5,slowest train ever stops everywhere missed quick train minutes,negative,noon,21-30,Togo,8278724,54390,152,anger,['anger'],True
2505a44c46,damnnn day came fast cherished moment,positive,morning,46-60,Mali,20250833,1220190,17,happiness,['happiness'],True
81e7d3acf4,wong,neutral,noon,21-30,Armenia,2963243,28470,104,df,['df'],True
5c83af1147,gourmet pizza  bleh pizza supposed greasy filthy cant eat pizza thats prepared chef,negative,noon,21-30,Libya,6871292,1759540,4,disgust,['disgust'],True
8d95271054, hi facebook  whats wrong  cant add photos,negative,morning,46-60,Saint Vincent and the Grenadines,110940,390,284,anger,['anger'],True
85b7cf8a0f,uhh congrats two years anniversary,positive,night,31-45,Peru,32971854,1280000,26,df,['df'],True
cd1a90193c,happy mothers day,positive,night,70-100,Spain,46754778,498800,94,happiness,['happiness'],True
2bdb19ccd3,oh lovely  one thing mums great at sounds yummy makin hungry here lol p,positive,morning,0-20,Dominica,71986,750,96,happiness,['happiness'],True
b761b09fbd,finished exams almost moved halls leaving london tomorrow,neutral,night,70-100,Marshall Islands,59190,180,329,df,['df'],True
56437e0860,know exactly mean ive lost many friends feel,negative,night,31-45,Zimbabwe,14862924,386850,38,sadness,['sadness'],True
a26c1b566d,ive sent twitter invite poet friends im hoping come poetize would love  see poets poets,positive,noon,60-70,Mauritius,1271768,2030,626,happiness,['happiness'],True
aac0a4e7c6,eating funnel cake mag fest,neutral,morning,46-60,France,65273511,547557,119,df,['df'],True
b7aa227b03,worth it love free version iphone though,neutral,night,31-45,Guatemala,17915568,107160,167,df,['df'],True
9ca53f2fb2,okay man hook hand kinda freaking right now,negative,night,31-45,Equatorial Guinea,1402985,28050,50,fear,['fear'],True
df398a774e,alrightim going get comp now go back ur party safe  fun,positive,morning,46-60,Singapore,5850342,700,8358,happiness,['happiness'],True
6117fbee73,oh  sucks,negative,noon,21-30,Azerbaijan,10139177,82658,123,sadness,['sadness'],True
f8b32c4484,wish were coming perth,neutral,night,70-100,Sierra Leone,7976983,72180,111,sadness,['sadness'],True
ef5c7bb3fa,unfortunetly wish mean sometimes like twice yr theyll party always,negative,morning,0-20,Mongolia,3278290,1553560,2,sadness,['sadness'],True
dba147c9f9,wanna say happy mothers day mommys,positive,night,31-45,Spain,46754778,498800,94,happiness,['happiness'],True
167fb8ca91,done thank,positive,noon,21-30,Israel,8655535,21640,400,df,['df'],True
a3da084834,must go strawberry fields,neutral,morning,46-60,Bahrain,1701575,760,2239,happiness,['happiness'],True
6eda368e36,happy mothers day euch allen,positive,night,31-45,Barbados,287375,430,668,happiness,['happiness'],True
a55fe11056,get grill taken care morning quick shot hands ask why,neutral,morning,46-60,Nauru,10824,20,541,df,['df'],True
3b50246867,link per daughter usmobilereuterscommobilemanyarticleprdturlscomarticlebigmoneyidus,neutral,morning,46-60,Liberia,5057681,96320,53,df,['df'],True
20f35978fb,im wit cha got home da reggae club wishin sexin somebody,positive,morning,0-20,Democratic Republic of the Congo,89561403,2267050,40,sadness,['sadness'],True
4e9f3e5a03,heard one songs amazing voice stunned,positive,noon,21-30,Libya,6871292,1759540,4,happiness,['happiness'],True
346ce6428b,bleargh never clean much house want work matter early wake up today sink laundry,negative,morning,0-20,Central African Republic,4829767,622980,8,sadness,['sadness'],True
1ca884fc2c,cnews bad expected could done better today great show,positive,morning,46-60,Egypt,102334404,995450,103,surprise,['surprise'],True
bcb1b79e4f,haha course thats favorite album time,positive,night,70-100,Iraq,40222493,434320,93,happiness,['happiness'],True
78bfe50327,gmorning rain rain rain  care much,negative,night,70-100,Portugal,10196709,91590,111,sadness,['sadness'],True
e5b5debcdc, great buy lunch get  pay cut next month,positive,night,31-45,Brazil,212559417,8358140,25,sadness,['sadness'],True
6b51e69aa9,u ,neutral,noon,60-70,Iran,83992949,1630000,52,df,['df'],True
930dd5f91d,work leave berlin  car late arrival,neutral,night,31-45,Uganda,45741007,199810,229,df,['df'],True
4213627c3c,still smell smoke kitchenfire,neutral,noon,60-70,Guinea-Bissau,1968001,28120,70,disgust,['disgust'],True
f023803c3e,got news,neutral,morning,0-20,Malawi,19129952,94280,203,df,['df'],True
558eca05f1,cant call im mexico know code,neutral,morning,0-20,Saint Vincent and the Grenadines,110940,390,284,sadness,['sadness'],True
04b6314652,ima say smudge start calling people given malicious action pulled night,negative,morning,0-20,Brunei,437479,5270,83,fear,['fear'],True
5ee98dd6dc,definitely first time ive felt alive years super happy,positive,night,70-100,Monaco,39242,1,26337,happiness,['happiness'],True
200a6a20e1,im going cali like two weeks cal,neutral,noon,21-30,Bangladesh,164689383,130170,1265,happiness,['happiness'],True
e47fb0bfe5,stupid freshmen ruined theatre class get play warmup games rest school year,negative,noon,21-30,Mauritius,1271768,2030,626,anger,['anger'],True
0da5b1c605,dead,negative,noon,21-30,Japan,126476461,364555,347,sadness,['sadness'],True
ef30751b05,thats sad,negative,noon,21-30,Botswana,2351627,566730,4,sadness,['sadness'],True
d32958f921,school finally test work yes im gunna miss alot ppl,negative,night,31-45,Namibia,2540905,823000,3,happiness,['happiness'],True
67e9b94dcf,boys girls lie awww santa real either,neutral,night,70-100,Tonga,105695,720,147,anger,['anger'],True
fec7fab22d,gotta get hoursbooo gooodnight,neutral,morning,46-60,Micronesia,115023,700,164,sadness,['sadness'],True
f78d0594ce,bread oven room cleaned almost done things list today,neutral,night,31-45,Panama,4314767,74340,58,happiness,['happiness'],True
e4a8bc33d2,hope wishes come true someday,positive,morning,0-20,Cuba,11326616,106440,106,happiness,['happiness'],True
c6bf44e881,alas best offer small pony rowing boat,negative,night,31-45,Algeria,43851044,2381740,18,df,['df'],True
9c44566550,whin park swings victory mine right,positive,morning,0-20,Congo (Congo-Brazzaville),5518087,342000,16,happiness,['happiness'],True
4987bf323b,im trying fix it doesnt ahi dios mio u good lol,positive,morning,46-60,United States of America,331002651,9147420,36,sadness,['sadness'],True
e082b8f404,best friend comingexcited,positive,noon,21-30,Montenegro,628066,13450,47,happiness,['happiness'],True
8f2a36da4c,monday morning  lets whip code today,neutral,morning,46-60,China,1439323776,9388211,153,df,['df'],True
1b022603d4,bout go bed happy mothers day ladies  especially th s takin care thier kids alonen love u momma,positive,noon,21-30,Malta,441543,320,1380,happiness,['happiness'],True
9bb06e4848,check yourz rayne,neutral,night,70-100,Burkina Faso,20903273,273600,76,df,['df'],True
547dd32f1f,day going way fast,neutral,morning,46-60,Trinidad and Tobago,1399488,5130,273,sadness,['happiness'],False
441dcaef31,hayley williams pretty much amazzing,positive,morning,0-20,Yemen,29825964,527970,56,happiness,['happiness'],True
04a9c22b52,better finish order little guy first tho sda,neutral,morning,0-20,Mongolia,3278290,1553560,2,df,['df'],True
0919b2fd2c,need read fic again lost,neutral,morning,0-20,Argentina,45195774,2736690,17,sadness,['sadness'],True
f564af8976,twitter slow,negative,noon,21-30,South Sudan,11193725,610952,18,sadness,['sadness'],True
756300c03d,thanks gorgeous flowers,positive,morning,46-60,Latvia,1886198,62200,30,happiness,['happiness'],True
fc0bf9b8e3,ah clean housefinally nice,positive,morning,46-60,Liberia,5057681,96320,53,happiness,['happiness'],True
6721e006ff,veryyy upset cant go hacienda tonight stupid nuggets game,negative,night,70-100,Saint Lucia,183627,610,301,sadness,['sadness'],True
b00cae87c5,need leave now tweet laters,neutral,morning,0-20,Central African Republic,4829767,622980,8,df,['df'],True
e1dc15f28e,does lol none,positive,night,31-45,Mexico,128932753,1943950,66,df,['happiness'],False
b943e7969b, still finishing errands trip tomorrow morning airport am,neutral,morning,0-20,Haiti,11402528,27560,414,sadness,['sadness'],True
201d52df31,must brought bad weather states,negative,night,31-45,Burkina Faso,20903273,273600,76,sadness,['sadness'],True
f65b5577e6,lmao back queens,positive,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67,df,['df'],True
2a16bf5fb2,theres nothing good tonight anyway sigjeans,negative,night,70-100,Comoros,869601,1861,467,sadness,['sadness'],True
e9ad937f82,_mcfly lol nah  course get dvd first since already ordered it ill sign bebo tuesday then lol ,neutral,morning,46-60,Micronesia,115023,700,164,happiness,['happiness'],True
78e2b887a1,mother drunk grrrreat okay mothers week,neutral,night,31-45,Czechia (Czech Republic),10708981,77240,139,sadness,['sadness'],True
963555edfd,im thinking deserve award big shiny one,positive,night,70-100,Australia,25499884,7682300,3,happiness,['sadness'],False
8e7d9da4e2,two rooms packed cleaned three go,neutral,morning,46-60,Egypt,102334404,995450,103,sadness,['sadness'],True
2ff62cd38d,coffee hand sun shining window hope everyones great monday morning far monday  mr,positive,night,31-45,Jordan,10203134,88780,115,happiness,['happiness'],True
5cc01962a2,going grocery store best friend,neutral,night,31-45,Ecuador,17643054,248360,71,happiness,['happiness'],True
73b8b92762,starbucks mother,neutral,night,70-100,Portugal,10196709,91590,111,happiness,['happiness'],True
d6e589391b,sounds cool post video,positive,morning,0-20,Belarus,9449323,202910,47,happiness,['happiness'],True
5c452788b2,fam back big island said vog bad cant see ocean sad,negative,night,31-45,Syria,17500658,183630,95,sadness,['sadness'],True
995f4ed2a2,thanks following means lot love hey monday,positive,night,31-45,Honduras,9904607,111890,89,happiness,['happiness'],True
2823b638c9,got kansas city excited fun weekend family sis parker josh,positive,noon,60-70,Denmark,5792202,42430,137,happiness,['happiness'],True
7d59117a75,putting  new consultants work week good feeling congrats offers,positive,morning,0-20,New Zealand,4822233,263310,18,happiness,['happiness'],True
f750fe4fb2, saw us postal hiring done filling preapplication thingy show jobs open area,negative,morning,46-60,Greece,10423054,128900,81,sadness,['sadness'],True
a57e876f09,morning hon breakfast cant decide,neutral,night,31-45,Portugal,10196709,91590,111,happiness,['happiness'],True
96616bea90,trying win tickets comon dc,neutral,night,70-100,Algeria,43851044,2381740,18,happiness,['happiness'],True
e0b28abe20,man u know things get interesting sometimes lolllim   good,positive,morning,46-60,Papua New Guinea,8947024,452860,20,df,['df'],True
9e4228219d,too,neutral,morning,0-20,Palau,18094,460,39,df,['df'],True
