Text,Emotion
ill add havent tried time feel adapt pick techniques quickly one things im amazed taken long,surprise
one sit stare blank computer screen scratch head times drink couple pots coffee feel triumphant write first sentence first sentence usually consists poop joke,joy
also feel like excited come back like two homes,joy
feeling sad today dont know fix,sadness
feel helpless lost upset worst,sadness
woke feeling grouchy irritable feel settled day remove patio small read school book ended storming house discovering still flush toilet,anger
began feel isolated frustrated low esteem,sadness
idea feel beyond wanting beloved,love
feel getting triggered emotional eating sick either cold virus plain old stomach flu,sadness
feeling total love acceptance body moment important experiencing exhilaration new experience,joy
thought end minutes ago got couch felt hot sore soft yknow fever body feels really tender,love
feel humiliated spending days planning beautiful wedding calling texting taking girl fucking,sadness
keep posting sleeping pictures feeling exhausted like right especially lunch getting stuck office midst rain nice air conditioning,sadness
ive feeling mad,anger
feeling id pick artistic skills,joy
feel like someone judged harshly accepted asked something,love
always feel little sad goes sorta ren stimpy theme us oil water gemini scorpio soulmate friends,sadness
im feeling distracted little bit flighty,anger
feel little intimidated,fear
also feel weird sleeping bed two slept,fear
kept thinking right mindset put enough effort pushing away feelings would afraid,fear
feel bitter theofilou said lack support nods agreement kastrioti waited turn board,anger
feel less comfortable parts blogosphere real life,joy
feel sometimes im talented enough,joy
feel pretty successful theres still something says,joy
weekend group people,anger
necessarily believe power rape whistles never got one feel grossly unprotected campus,fear
wasted entirely much time feeling insecure body,fear
feel less alone like belong,sadness
feel control less frightened headaches migraine attacks excellent service,fear
feel lack respect love space harder partying personally comfortable,joy
make feel submissive enough wonder strange,sadness
wishing november away trying forget thanksgiving need mindful really matters feel overwhelmed,fear
feel gonna months days ever since broke,sadness
feel blank freaks,sadness
im puzzled feeling wiggle low pelvis feeling bumps thumps top stomach like top,sadness
dont really connect main character anything fact feel like almost innocent,joy
im feeling little overwhelmed recently,surprise
dont really details share feel like blogging letting know ecstatic,joy
fit beirut nagging feeling heartless place,anger
hide secret inside away everyone feel ashamed like assistance making better,sadness
feel guy think sincere honest intelligent,joy
guess im feeling pretty mellow days,joy
im feeling hopeful grateful,joy
feel fake,sadness
feel lethargic feel blah diet feel great much energy,sadness
feel think im always glad theres something dont im one whos feeling sad,joy
im looking good feeling good crappy cold im dealing,joy
feel doubtful even struggling bit faith even times seem dark feel alone know god,fear
like think near future ill feel urge write album two really impressed likely href http handsomefamily,surprise
feeling restless stepped kitchen whip crunchy sweet treat,fear
feel near flawless film,joy
also feeling unimportant,sadness
feel regretful bad called,sadness
bought make palette two months back post today bought items im feeling ecstatic,joy
go onto officer memorial page reflect feelings wonderful officer seems make feel little better,joy
badly needed missing make sewing time find feel productive,joy
know feel feel absolutely terrified overwhelmed desire like cry drink beer prey maybe find way make lyrics work within thought process,fear
feel defeated like lion prey,sadness
feel im simply doomed repeat cycle obesity,sadness
find lately feeling like shitty wife mom,sadness
feel little disturbed wire background posted think light better spot,sadness
feel self content,joy
would set sunny temper generally feeling benevolent road users every morning approximately,joy
still feel fine tell getting weaker,joy
ive feeling needy lately,sadness
also feel like excited come back like two homes,joy
feeling rather unhappy lately id feeling left groups friends,sadness
say test drive left feeling impressed cx steve adams assistance,surprise
feel comfortable staying house feel relentless im asked something tired almost time bored without money,joy
im feeling wimpy know one year old sent old country year parents work,fear
first anatomy lesson,anger
cant let feeling one blink im heartless person like give lot change give lot change come change decisions give lot change find threw like crap,anger
finding able student thought,fear
roommates lack consideration,anger
still feeling generally needy wanting spend time dealing insecurities well focus friend,sadness
finished long day work feeling bit sentimental weeks thought id get write words,sadness
left feeling slightly dazed confused disappointed,surprise
already feeling loved asked bridal party thank note made feel even,love
would say start feel really intimidated code vast everything,fear
played great set feel really hesitant ask,fear
scared feeling stupid unintelligent felt like wasnt smart enough,sadness
feeling pretty rotten,sadness
im jazzed first image even finished one already feeling proud,joy
still feel amorous,love
see feel knew could get angry putting key lock want punch someone face every single time put key lock know must keep going,anger
looked uncle lin chubby face feeling charming never find ah scrutiny,joy
feel weird much psychological safety coming noah providing money,surprise
hurt comment made feel unimportant like wants date many women,sadness
id actually feeling less hostile towards ms lot linux using brethren lately,anger
love job love kids times feel like take much person left dull,sadness
feel dazed choices much find standing still front blank page unable make move,surprise
would suggest volunteering help people need salvation army help others learn appreciate still feel worthwhile,joy
learnt nothing else last two years best feel way trusting instincts,joy
get older desire find creative ways continue dancer feel like time body stops reacting responding dance time artistic level honed really great way,joy
feel privileged yet powerful,joy
sometimes feel resentful come lives time,anger
tend come away feeling insulted books deny,anger
also first slice xmas cake today im feeling festive,joy
im organised person feel assured pre plan,joy
miss feel one person ignored,sadness
feel like missed born particular religion,sadness
feel good players play whether play right left centre back role,joy
chose share little personal snippet phone know one feels way know one petrified face,fear
see underground paris night make feel reassured,joy
posting past event feeling like insulted,anger
start enjoying becomes part general fabric feeling joyful everyday activities,joy
im sure feel caring loving people kids lives better,love
keep feeling disgusted,anger
feel distracted scattered take moments close eyes breathe,anger
feel clever,joy
sometimes feel nostalgic happy restless angry time,love
want learn something new feeling dull,sadness
feel need layer fake tan night give bit colour clothes,sadness
feel proud dont regret going path went,joy
feel comfortable,joy
actually thought would feel bothered since ehb woman ow spent quite bit time together didnt feel much anything,anger
feeling stressed like coiled springs wasnt going end well,sadness
feel like read ulysses club really smart fun people want join club,joy
feel longing feel connections already brave enough complete friendships,love
got sleep could choose woken alarm definitely take anything makes feel groggy,sadness
feeling melancholy embrace listen slow downtempo melancholic pop,sadness
feel irritable unfulfilled dont paint several days,anger
im feeling adventurous might even make multiple tiers,joy
got eyebrows waxed day feel glamorous,joy
get happy die feeling honestly feel like died next minutes would satisfied life,joy
feel like thats useful fun replace exotic icons destroyer,joy
feel convinced ideal therapist presumably able professional necessity understand another person uniqueness wholeness without presupposition ought least fairly healthy human,joy
feel whack messed know psychologically fucked feel difference feel like fucked could,anger
feel like shouldnt bother people petty stupid little pathetic thoughts feel like one really would care know really goes inside head,anger
didnt feel anything special,joy
keep going despite feeling miserable,sadness
kept research bathroom renovations research resulted feeling confused ever go tackling felt like mammoth task,fear
im feeling discontent everything manifesting destructive self sabotaging ways,sadness
dont win lot things still feel ridiculously lucky,joy
know people fond treat going getting pedicure sit enjoy wonderful feeling someone else massaging tender tootsies flipping pages book magazine,love
feel somewhat frightened number policemen arrived told may come inside search whatever need,fear
feel like greedy ingrate saying felt kind bad presents,anger
feel discouraged lose sense inspiration keep going especially see people give best good pb,sadness
dont want beg feet courtney hows new project coming courtney would give affirmation dont feel like submissive slug,sadness
feel may popular topic blogosphere,joy
feel wonderful earley said,joy
scene film one man repressed another one concidence,anger
tried adding type cheese talking small quantities right back feeling shitty,sadness
also feel devoted profession get ever annoyed see things would adversely bring adverse publicity profession like hearnsays ill informed patients media ignorant politicians making use health care tool boost publicity,love
feel really burdened days challenge,sadness
feel like im strange place life one take care one cares,fear
feel like weve living weird time warp like wednesday,fear
could feel sciatica aching feet swinging gas brakes pedals,sadness
discovered feeling successful grown decide make indulge meal hits spot,joy
get feeling pay getting fucked,anger
ive never huge holiday person definitely feel festive hopeful willing celebrate others joys,joy
much money say feel fake unappreciative much world,sadness
wanted make sure didnt feel rushed getting century college friday afternoon,anger
feel embarrassment shame victimized,sadness
feel bad saying happy dont think way im going anymore,sadness
feel sweet sense optimism touched anxiety coming days,joy
enjoy feeling strong love muscles strength endurance,joy
began feel keep supporting system became part blood sucking everything profit machinery,joy
stole book one time favorite authors feel like rotten person,sadness
kind feel like supporting,joy
feel vaguely remorseful,sadness
feel stupid every time even think,sadness
think known tyrant dedicates whole life making money use feel superior control life,joy
love rainbow look going think feels really festive hope kids feel like suppose constant party classroom thanks tissue paper balls,joy
believe lot girls feel way especially feeling really low,sadness
usually wake feeling kind groggy,sadness
still feel bit stunned suppose racked regret shame,surprise
look beefy even though older feel dirty feel like one would like one,sadness
im feeling hot bothered let hold onto body hes ready dine ive told would find better lover hes kissing lips think need imagine order get,love
want others happy mean step back yet feels like allow happy deserve even deserve,joy
dont feel inhibited work problems,sadness
feel angry im happy,anger
early today vote lines got long didnt feeling uncomfortable another reason,fear
tend stop breathing feeling stressed,sadness
feeling hot sweaty dance rehearsals looking best greet man per guides read obsessively exceptions must made expecting,love
confession make feel rotten,sadness
feel like sociable someone going chilling somewhere,joy
ever want feel vulnerable,fear
personally feel url little vain awhile started get irritated self centered sounded,sadness
loved made feel elegant wore,joy
feel id passionate invest time mention enjoy writing,joy
actually stop think makes feel quite overwhelmed,fear
feel need blog pagetitle flab fab,joy
feel like distracted silly things like twitter spend entire evening kids actually hear thing saying,anger
mm comfort zone long feel need get bit creative composition,joy
begin feel dull ache left side,sadness
realized mistake really feeling terrible thinking,sadness
also intended study happen either feeling little less virtuous amp holier thou would actually done something constructive past week,joy
could feel warmth strange stillness comforted,fear
feel like little giggly schoolgirl fun,joy
put christmas tree im feeling fairly festive,joy
feel funny cause bonka neva thanked fa awards,surprise
think feel depressed knowing im anywhere near close,sadness
feel like especially art world could little reality little less fill blank,sadness
im still paying attention feel distracted,anger
im feeling need cute little monogrammed one green mommy,joy
feel distraught right,fear
mother tremendous phone talked hours good mood,joy
feel could unpleasant layered love healing forgiveness expectation things turn well,sadness
feel like fish might moderately intelligent fish ive noticed tendency go corner tank closest container fish food stare,joy
feel reassured anxiety side,joy
accidentally feel mood jumped blogspot surprised views lol,surprise
feel awkward around rather loved feel wanting near let go longer ask hugs comfort,sadness
feel glad justice served west said,joy
woke later morning clear feeling pretty lousy luckily normal vet appointment available later morning,sadness
think fact know lot time play catch also free time first time feels like forever really free time,joy
feel cold winter,anger
however feel lot isolated distant many call friends,sadness
feel appropriately disturbed project,sadness
feel simultaneously superior inferior writer wish could take back things said,joy
feeling cranky voice inside head wants eat whatever wants,anger
feel really wimpy saying,fear
feel like garbage cant think thankful right hurts badly,joy
may feel relieved satisfied probably fun,joy
responsible picking man occasion reminds people past like mom threaten break pattern conducting different way even feel scared deep know good man,fear
always feel intimidated people especially always compare people ever since young,fear
feel news soothes troubled minds news uk,sadness
thinking certain person sleep end strange dreams wake dreams feel shaken stunned,fear
dont know explain well like happily bobbing along exploring abstract universe make contact something get excited happy feel satisfied like ive formed special bond whatever ive encountered,joy
feel horrible youd think id know mountain together,sadness
got separated man loved,sadness
talked much feel video curious,surprise
didnt get anything bad lot thanks stuff made feel good,joy
cannot help feel life series unpleasant accidents stumbling trying right thing,sadness
available going day need feel useful maybe still contribute time part time dont want let anyone,joy
know least one person besides feeling nervous anxious getting started,fear
usually wake feeling kind groggy,sadness
love even feeling discouraged,sadness
ive waiting get time alone quite weeks finally get im feeling bit homesick,sadness
patient expected get well suddenly passed away showed meals,anger
ive feeling little bit anxious late far relations lack thereof ward investigators go im excited able ponder temple see come plan lords help,fear
feel like calling bitches wasnt exactly bitchy coz wasnt intentional could call ungrateful inconsiderate selfish ok ill say bitches,anger
felt sick watching feeling helpless,fear
im feeling creative best rather student deadline meet,joy
struggled fit work module felt frustrated times feeling blogs rushed although read great interested fellow students blogs feel havent interacted much could done definite area development,anger
feel uncomfortable telling others girls wish lists,fear
feel miserable break self,sadness
wonder jealous feeling discontent covetousnes,sadness
read always touched feel blessed,love
know family friends god point life life want feel romantic love,love
ended podcast feeling depressed exactly like still concrete answer strike balance self help authors love talk,sadness
feel like ten many sites keep entertained daily basis,joy
feel energized eager write tomorrow,joy
feel divine strong,joy
feel look eager anticipation come,joy
feel completely shaken,fear
feel im pretty spot instance im guessing,joy
im feeling confused ill keep trudging,fear
get feeling people think im whiney know,sadness
feel like go emotion angry,anger
needed feel loved accepted although falter,love
know feel like potentially shaky ground,fear
kind feel blank whole thing,sadness
watch friends going changes feel envious,anger
almost feel greedy believing want much,anger
feel really thrilled learn,joy
feel sort disdain im ashamed even verbalize yet cant bring deny convince otherwise,sadness
agree hirsi ali policy matters agree much ingrid writes contrast grown country feel little love culture identify least help sympathetic,love
felt stronger wish free self cherishing refuge practice return feeling freedom protection suffering stayed rest meditation,sadness
feel find felt target blank clasheen nicola brown href http keepmeinstitchez,sadness
feel rather nostalgic days gone never return,love
im feeling goddamn pissed,anger
im bit paranoid checked dorm inspected though thats always sorts things thats making feel anxious every time start thinking cleaning packing,fear
feeling brave,joy
feel heartbroken one middle aged woman told pyongyang state run media,sadness
could sit hours old friends catching feel like uber gorgeous,joy
feels lame,sadness
left feeling confused blah,fear
feel blessed years thankful learned,joy
feel love thank pagetitle popular news abc news u,joy
love feeling carrying arms looking sweet sleeping face,joy
missing important information anything please feel free post comments even though interested style years wearing style officially community year half,joy
feel like really supportive,love
thrilled lot things feel petrified,fear
feel really good schools though know long shots,joy
feeling lethargic hahaha,sadness
like photo feel look elegant indian clothes,joy
still feel like look messy use try change,sadness
feel reading allthingsbucks blog brought tears eyes lump throat feeling worthwhile thing upset shouldnt write lame blog,joy
im also feeling gracious want bless old tried true family recipes,love
feel like people seem intimidated blog,fear
wishful gaining feeling responsibility planning event well commitment,joy
reshaped workout slightly left upper arm feeling tender,love
feel afraid learned allow afraid,fear
feel glad cool mama,joy
remember feeling amazed little person child new brother,surprise
feel disheartened,sadness
feel like thats vicious circle,anger
feel though sub arguments stronger support claims better beginning,joy
know wont make better person feeling wont help wont make successful,joy
think want go aa meeting hear stories feels rude,anger
thinking keeping current feel need keep entertained babysat giving work projects needed,joy
think people unintelligent want feel intelligent answer questions nonsense answers earn points ask stupid questions like u go stuff like,joy
ive feeling little bit anxious late far relations lack thereof ward investigators go im excited able ponder temple see come plan lords help,fear
know last long ambulatory feel even though try positive possibly,joy
feel even though bloggers popular within one clique twice amount people jealous success chooses kiss butt fit triple disrespect pompous notoriety,joy
look photo feel gentle calm makeup still soft warmer feel harmonizes better warm colours flowers,love
know need sleep feeling dissatisfied yet accomplish instead glowing pride done,anger
feel jealous,anger
go coeur alene im surrounded feels strange look think people actually nuts,surprise
feeling agitated read hot walk,anger
feel proud carried struggle today feel real human,joy
feeling productive,joy
feel pathetic asking could even let things get point,sadness
feel like studying probably studying anything passionate,love
like notify time feel sweet heart beside need make love human cant live without love question kind infidelity passed sweety feel sweet href http savingyourmarriagebeforeitstarts,love
feel like looks gorgeous curls instead making full transition ended getting extremely natural red lowlights bottom section hair,joy
ill admit im bitchy sometimes feel time goes im getting bitchy relationships went past month mark,anger
feel book explains things well easy use,joy
feel foolish amazed yet feel foolish href http dkang,sadness
feel awful know get child write letters draw certain things make words paper letters back onto card laminate cut without totally losing shit,sadness
guess whole need hobby thing feel worthwhile smart important,joy
feel reluctant walk,fear
feel pretty time,joy
id less honest blog didnt report im feeling petty right,anger
im sitting outside mildly determined write feel gorgeous outside even bugs buzzing around,joy
feel desperately fond,love
know affected importance beauty embedded deeply think ever stop feeling inadequate ways measuring society narrow unattainable view beauty,sadness
guess feelings meant inhibited prohibited,fear
feel terrific,joy
started feel dissatisfied ease convenience,anger
actually tell breathe breathe breathe feel absolutely terrified know go home life missed anymore,fear
realised karin producing book us feels keen worries time,joy
admit even though feel horrible,sadness
feel blessed lisa god friends life,joy
need express feeling badly ignore offended,anger
feel like im working half voice caleb make really wonderful night comus inn,joy
ive found interest u waning ive even come away portrayals relationship feeling dissatisfied,anger
still feel little bit funny discover fb damn,surprise
feeling rejected became laughing stock among peers,sadness
ive seen way serina feels strange shes useful sure helps cleaner pretty expensive pay money would pretty great,fear
feel pretty officer krupke somewhere,joy
feeling little sorry worse,sadness
im feeling cooped impatient annoyingly bored,anger
always feel horny im done definitely large flaccid penis sleepy hangs low,love
feeling deprived traveling june still one weekend getaway planned middle month well free concert every tuesday random outings,sadness
pick cards feel shiver go spine feel curious,surprise
dont think honest lot things could wrong keep feeling skeptical certain things everytime hang,fear
could feel cool air marillac like giant residential freezer flow ease teeny extra hole right nostril,joy
know think way always feel skeptical painting nails red since also light skin red really going stand cute way year old wear red nails without looking like trying hard looking like hooker,fear
feel miserable wish dead,sadness
feel blank loss hey old hat,sadness
left feeling little disappointed since started well finished little limply,sadness
quarrel parents convinced right,anger
im feeling gloomy,sadness
feel petty even though thoughts arent real fleshed thoughts fluttering feel like kind thoughts,anger
sick feeling hour bus adventure vain,sadness
feel really pumped also eager try hiit high intensity interval training thanks new friend sarah,joy
feel empty inside time,sadness
feel like im hated celebrated cant wait till day say made,anger
remember couple years ago feeling romantic dreamy asked wonder celebrate th anniversary,love
get giddy feeling elegant perfectly fitted pencil skirt,joy
feel getting timid days,fear
really dont like whole harvest time feel im keen spending time morning attempting style hair completely ruined within minute walking outside damp air,joy
could feel aching starting earlier day,sadness
starting feel bit disheartened progress physical tbr still boxes books next bed going away fast want,sadness
wear feeling playful silly,joy
feel irritated everything,anger
feel lousy im anxious presentation today,sadness
sometimes feel inadequate mind often slips focusing god jumps selfish thoughts tasks hand classroom,sadness
think feel little ashamed ive blogging regularly year hasnt much struggle,sadness
miss safe comfortable made feel vulnerable able knew loved,fear
want job permanent feel like valued,joy
confess feeling bit nervous though talented people group,fear
feel really tranquil right,joy
feeling miserable serioulsy,sadness
taking alot xanax lately mixing meds together feel mellow enough deal world,joy
feel like movie dangerous minds,anger
im feeling awfully proud sticking,joy
feel pain pleasant,joy
could feel way honestly believe violent dangerous man,anger
feel heartbroken one middle aged woman told pyongyang state run media,sadness
feel like must popular choice alterations done elsewhere,joy
wake hurts knowing could ever possibly done anything hurt person ever make feel pain lack trusting,joy
afraid feel regretful time,sadness
feel tortured thought feels true,fear
still feel like waiting vain love,sadness
completely lose ability segregate feelings actions rude hurtful father husband also hero best friend heart,anger
feel wonderful seeing sweet ribbon prices,joy
feel really petty immature dont want cheat greg end breaking fighting stupid little things,anger
feel like artists love ones find truly talented seem unique style recognize mile away,joy
feel like thing call artistic tendency really laziness narcissism justifying strengthening,joy
feel lost atom href http www,sadness
feel physically sort aching im kind expecting response dont know would say ive got good idea,sadness
feeling exceptionally brave daring may even make corset,joy
want avoid feeling disliked,sadness
come home feel shitty cant bring work need,sadness
feel stunningly elegant tonight darling,joy
hope always remain grateful even feeling little unsure endeavors,fear
feeling irate,anger
friend dropped frog neck,anger
feel ugly right im still happy,sadness
feel glad enthusiastic point sand snorkeling,joy
feel hot walk market sun,love
always feeling hot hot touch,love
feel helpless,sadness
often feel bothered inability stop loving people matter much time passes deeply wrong,anger
really didnt feel like going yet another womens conference wonderful event glad went,joy
changed office another room without agreement,anger
feel confident today front nine,joy
hesitate give stars books feel giving stars saying absolutely perfect improvements made,joy
alsways feel carefree,joy
annoyed info dump made book long feel miss something skipped annoyed pages,anger
relaxed nodded feeling assured someone love safe pampered even longer,joy
want write left campus feeling truly thankful wesleyan putting kind event never dreamed able attend fairly short car ride,joy
feel kind talented right lol hmmm,joy
dont know dont know feel everything going ok,joy
choose sleek smoother feel sweet revenge made drawing handling blaster bit nicer,joy
went pick kids feeling scared trembly self critical stupidity,fear
feel tender anyone upset bee movie sort like feel old aunts dont realize prickly whiskers getting slightly repulsed sad decline,love
feel nervous hyenas,fear
feel pace slowing book rich world building setting future plots added bonus,joy
feel irritable guess classic symptom depression,anger
still feel like got hit car walked away shaken seriously damaged,fear
need everything push away boundaries feel listless overwhelmed,sadness
play rain squeal glee feeling mud squishing toes enjoy pretty much anything takes place outdoors,joy
feel perfect jumping point come,joy
feeling frustrated session attended,anger
grateful strong support system internally externally rely feeling uncertain weak,fear
still feel horrible,sadness
tend want cook feel grumpy tired stressed,anger
wont anymore wont allow stressed feeling rushed like race better one,anger
feel heartbroken mostly daughter adjust new daycare center,sadness
set consultation therapist last week went see today spoke general feelings towards things end reassured atlephobia instead social anxiety apparently really common,joy
feel crappy actually,sadness
starting feel little stressed,sadness
im feeling generous enter day like long new answer spell magical ability rhyme potion etc,joy
feel guilty href http douevenlift,sadness
ate something wrong feel terrible day,sadness
feeling rather vain today hair looks good decided entire post beauty products,sadness
im feeling distracted recently,anger
believe newborns photographed heads full dark hair feeling little envious babies bald blonde come,anger
finished college couple kids worked feeling entirely discouraged camera functions wanted feeling like couldnt decent job taking pictures decided give another try,sadness
going trials feeling troubled something love put worship music driving really think words sing pray go,sadness
feel embarrassed lost weight im afraid another week disappointing news scale cause people give stop following blog,sadness
feel inspired create ive thinking lot inspiration week,joy
feel love yesterday brought tears eyes hear say today realize special surrounded love,joy
feel pathetic asking could even let things get point,sadness
could feel feet getting agitated got metropolitan pavilion,anger
also mention marriage living also feel wronged home high price scary ordinary rural family really difficult afford high price house,anger
ive frustrated dont walk around floating air seeing good every sidewalk pothole trip beating feeling unsure scared,fear
know many muscles body feel one aching,sadness
feel weight emotional issues much,sadness
feel irritated either interrupts quiet time wakes,anger
go fishing really feel carefree fish everyday,joy
im currently feeling way fucked mother tongue paper,anger
like home feels unwelcome fact despise,sadness
feel like im gonna greedy cuz love much,anger
little teary feeling little sorry,sadness
feel remorseful fellow teachers go back work tomorrow,sadness
private person although going anything personal feeling anxious writing,fear
feel nostalgic travel away country family friends dont like,love
feel successful sodden shattered squeeze sardonic squat,joy
im feeling mellow enjoying cooler weather,joy
feel agitated sitting,fear
feel privileged yet powerful,joy
continue feel inspired strong runner become year,joy
feel determined offer possibilities parents gave explore create path,joy
dont understand feel empty hollow deep within,sadness
think folks feeling miserable acknowledge must actually something make world better place,sadness
feel bad,sadness
feel special joy elevation post,joy
men zhu said snapbacks cheap also feel dangerous present sake door safety since see leave green lotus temple first wholesale obey snapback hats,anger
wake feeling fearful helpless,fear
moved little flat london struggling look made feel really useless,sadness
im feeling generous fellow bookworms kiddies even youre kid heart,joy
feel distraught right,fear
havent like lately seriously feeling depressed,sadness
im tired unhappy feeling listless unmotivated exhausted,sadness
imagine man like kicked nuts repeatedly bad feels feel like want curl die devastated schalm said bout,sadness
feeling beaten life yesterday see love schizofrenic man kick house boisterous fights,sadness
feel like important reveal lessons youve learned tough times along ones youve learned awesome times endeavoring build audience honesty authenticity,joy
feel pleased issue lot beautiful pieces example maggie lees poem titled href http vol,joy
feel dazed href http twitter,surprise
feel terrific every one,joy
feel like selfish bitch feeling way countless impoverished people suffering surely hundred folds,anger
feel strong enough take pain thinking wrong,joy
feel quite jolly spite heat lack commercialism,joy
cant make proper conversation feel annoyed little things,anger
realized ignoring better heartbreaking feel helpless,sadness
guess since im feeling bit less shitty random picture,sadness
feeling said impatient,anger
listen cd left feeling little confident less stressed,joy
feeling adventurous took stairs,joy
admit feeling pretty horny nicole,love
ive feeling much confident,joy
feel like long enough would emotions back b c could either stressed people cant hide emotions would support back feeling would safe esp without uw school work,anger
feel worthwhile give depth city sized look one cycle days,joy
vague feeling anyway probably useful us could turn something useful,joy
feel gentle amusement,love
would go straight point rather defination romance feeling anger feeling suspicious feelings,fear
pray continue giving confident happy god fearing feel loved,love
guarantee im dizzy feeling like im going vomit months going pleasant person,joy
would wasted time money feel really pressured dont want,fear
im sure left feeling angry unhappy also caused members staff feel angry aggressive upset hurt final say personal attack say awful individuals bad attitudes,anger
didnt feel disheartened,sadness
lived someone living lie keep dark feeding lies faking feelings id ignorantly complacent longer convenient,joy
im starting feel less like cute little bump like bigger belly,joy
hate feeling like im always getting mad reason feeling lonely,anger
forgot passport realize stomach feeling funny went washroom understand actually sick,surprise
way ski slope difficult steep,fear
im feeling bit frustrated tonight,anger
know perhaps girls office nice short hair perhaps feeling rebellious,anger
certain friend tried push seat violent way apparent reason may excited something,anger
went script would like mustard sauce started feel really startled,fear
feel damn complacent,joy
feel emotional reaction lot times emotion accompanied physical reaction well,sadness
knew werent giving thanks wasnt feeling thankful either,joy
feel angry alone unwanted vexed irritable time,anger
im feeling ecstatic right classy ever redesign project begins week,joy
im feeling slightly intimidated,fear
feel heartbroken sad,sadness
wanted skate fast wanted try everything see difference feel amazing,surprise
feeling impatient restless excited,anger
want feel like important,joy
feeling little bouncy right,joy
id love know comments feel like funny thing always love reading people schedule days,surprise
feel devastated young man,sadness
wont feel sorry leaving behind,sadness
feeling discouraged,sadness
feel like appreciative im struggling,joy
feel another clever ploy played ashraf attempt avoid beating hands pakistani fans,joy
im feeling pretty proud elements room somehow worked way onto body,joy
always feel way moods still unpleasant,sadness
feel seeing clash alarmed changes planet rather laconic whole thing,fear
