ID,Tweet,Sentiment,Time,Age,Country,Population -2020,Land Area (KmÂ²),Density (P/KmÂ²)
e9ffb3f1cc,lol make cookie ill hit up,negative,noon,60-70,Guinea-Bissau,1968001.0,28120.0,70.0
ba9274b5d5,oh gosh loved it,positive,noon,21-30,Armenia,2963243.0,28470.0,104.0
0b8865758f,looking new beard  fell window bright green ones time,neutral,night,31-45,Marshall Islands,59190.0,180.0,329.0
c2fe705d02,yaaawn stayed late last night still gotta work  get super early tomorrow,neutral,morning,0-20,Eritrea,3546421.0,101000.0,35.0
777111092b,soo wanna eat mcdonalds fries,neutral,night,70-100,Pakistan,220892340.0,770880.0,287.0
8aee74193f, chillin homewatching movie tv  making healthified streusel coffee cake,neutral,morning,46-60,Argentina,45195774.0,2736690.0,17.0
817b684c10,wine,neutral,morning,46-60,Kuwait,4270571.0,17820.0,240.0
839095ea38,s brothers experience real brothers included,neutral,noon,60-70,Japan,126476461.0,364555.0,347.0
997a79658c,fun night bekah talkin stuff wuv,positive,morning,0-20,South Korea,51269185.0,97230.0,527.0
43702eeca8,lmao need shopping partner today,positive,morning,46-60,Democratic Republic of the Congo,89561403.0,2267050.0,40.0
9dc15a8e95,surprise there probably know,neutral,noon,60-70,Azerbaijan,10139177.0,82658.0,123.0
cf47dc8553,really nice outsideim stuck work,neutral,noon,60-70,Tunisia,11818619.0,155360.0,76.0
10685ab412,wife lost sprint blackberry  bike ride am anyone extra bb laying around retweet,neutral,morning,46-60,Cuba,11326616.0,106440.0,106.0
cd5791e778,yay hope day work wonderful sis bank holiday england today everyone work,positive,noon,60-70,Zambia,18383955.0,743390.0,25.0
4b0b800393,haha playing,neutral,noon,21-30,Bhutan,771608.0,38100.0,20.0
8489166688,asee great flight,positive,noon,60-70,Holy See,801.0,0.0,2003.0
64f91449b7,concert tonight chackin coming tomorrow,neutral,morning,0-20,France,65273511.0,547557.0,119.0
c05ea7e99d,ahahahaha love twilight liee know love robert pattinson,positive,night,70-100,Netherlands,17134872.0,33720.0,508.0
af5137ae66,movie awesome wish could reload pistols like agent  did want think gambit,positive,noon,60-70,Lebanon,6825445.0,10230.0,667.0
cbad357004,asaddd,neutral,noon,21-30,Colombia,50882891.0,1109500.0,46.0
080bb8b0ea,work tomorrow,neutral,morning,46-60,Mozambique,31255435.0,786380.0,40.0
f4a46eb3aa,well daughter  nowthats said i miss daysthey go sooo fast,negative,morning,0-20,Norway,5421241.0,365000.0,15.0
e34b26e551,ahhhh keyboards getting worse  bdays  day,negative,morning,0-20,Andorra,77265.0,470.0,164.0
21ab47d9da, beach cosmo kamikaze captain america ahhh fun night still over,positive,morning,0-20,Qatar,2881053.0,11610.0,248.0
093021fd94,hope doesnt rain tonight tomorrow fam comes visit swimming pool carne asada rains pool going dirty,positive,night,70-100,Canada,37742154.0,9093510.0,4.0
93b22f1829,yay  sherbert chocolate  nutritious,positive,noon,21-30,Holy See,801.0,0.0,2003.0
856f20c8f2,hearing susan boyle sing came beautiful person id ever seen feel bad first impression though,neutral,noon,21-30,Mauritius,1271768.0,2030.0,626.0
c6bf44e881,alas best offer small pony rowing boat,negative,night,31-45,Algeria,43851044.0,2381740.0,18.0
de1bf1783b,rain parade beer fire,neutral,noon,21-30,Cyprus,1207359.0,9240.0,131.0
e2af64609f,finally finished emulsioning bathroom gloss work,neutral,noon,21-30,Germany,83783942.0,348560.0,240.0
458213811b,needs escape town getting ready seeyuhhh,neutral,morning,0-20,Austria,9006398.0,82400.0,109.0
393519d754,flipping race nba playoffs pulling dale jr bron bron,neutral,noon,60-70,Poland,37846611.0,306000.0,124.0
957f272e21,super bummed whitecaps game plans friends fell throughi need home  let sitter go,negative,morning,0-20,Cambodia,16718965.0,176520.0,95.0
47990d2312,brainfreeze,neutral,noon,21-30,Albania,2877797.0,27400.0,105.0
85ef239798,ur mom called guess not c u  ,neutral,noon,60-70,Iceland,341243.0,100250.0,3.0
6f64d970e6,woken mum work,neutral,night,31-45,Vietnam,97338579.0,310070.0,314.0
59e82d08a3,great theres cloud thats really really dark grey right outside office window sure lotta precip it,positive,morning,46-60,Austria,9006398.0,82400.0,109.0
8307028083,cds hmv overpriced Ã£Ã¢Ã¢Â½  hate money,negative,noon,21-30,Oman,5106626.0,309500.0,16.0
40d56767e6,update island flowers  large pouch ,neutral,morning,46-60,Central African Republic,4829767.0,622980.0,8.0
7a6dd87e61,well hopefully rest day gets better,positive,noon,21-30,Mauritius,1271768.0,2030.0,626.0
91e85bf6fe,birthday today running mile tomorrow ughh choir concert,neutral,night,31-45,Lesotho,2142249.0,30360.0,71.0
5f4cee73bd,twitter sooo im pretty  cool,positive,noon,21-30,Mauritius,1271768.0,2030.0,626.0
d934e438cc,sent home yest work today feel like hell burning high temp got hubby,negative,noon,60-70,Malta,441543.0,320.0,1380.0
b565083142,like songs cant say one guys love ya,positive,night,70-100,Iraq,40222493.0,434320.0,93.0
a72f4f357b,im bird broken wings song love sing know ,positive,noon,60-70,Venezuela,28435940.0,882050.0,32.0
df471c767c,thats nice cousin left house daughters daddys girls sweet,positive,noon,21-30,Japan,126476461.0,364555.0,347.0
25e098d166,working home office today catching everything except twitter,neutral,night,31-45,Cabo Verde,555987.0,4030.0,138.0
cd3ffb6970,_read perhaps background apps,neutral,noon,60-70,Palestine State,5101414.0,6020.0,847.0
d0479b09bb,upset,neutral,night,70-100,Portugal,10196709.0,91590.0,111.0
c5fbcd3afa,u point pointing yesterday ppl  wait til midnight  kinda pissed,negative,night,70-100,Syria,17500658.0,183630.0,95.0
e2ca3ec9e3,starting daya long friday,negative,night,31-45,Suriname,586632.0,156000.0,4.0
f0edaf1afa,asleep trying be,neutral,night,70-100,Guyana,786552.0,196850.0,4.0
7686240160,omg get  coupon time you im obsessed catalog comes mail,positive,night,70-100,Ghana,31072940.0,227540.0,137.0
3c3b471263,happy mothers day,positive,morning,0-20,Ethiopia,114963588.0,1000000.0,115.0
c8384a0df6,thank new first time japa dog customers twitter spreads word like new customers,positive,morning,0-20,Eritrea,3546421.0,101000.0,35.0
3fe390dcc1,lol blessed life mama sorry back pain stretches,neutral,noon,21-30,Gabon,2225734.0,257670.0,9.0
c6d1f52386,hahaha tea grandmas sweat yep,neutral,morning,46-60,Solomon Islands,686884.0,28000.0,25.0
8c96618bee,oh noes average joes lexington closing sad,negative,noon,60-70,Guinea-Bissau,1968001.0,28120.0,70.0
ab8d203651,thanks love  btw happy mothers day mom,positive,noon,60-70,Malta,441543.0,320.0,1380.0
68263454d0,satisfied fp review,positive,noon,60-70,Chad,16425864.0,1259200.0,13.0
bf11629f0a,specifically like so adore outfit ,neutral,morning,46-60,Malawi,19129952.0,94280.0,203.0
dbe49e110b,yep  it,negative,night,31-45,Slovenia,2078938.0,20140.0,103.0
baf47d52eb,_ poor baby need aloe nope sorry hints,negative,noon,60-70,Iceland,341243.0,100250.0,3.0
0693a85163,allergies sun out wearing shorts stuck advisory whole day boring except fun people make fun,negative,noon,60-70,Chad,16425864.0,1259200.0,13.0
7132ae3a58,happy mothers day  minutes everyone,positive,noon,60-70,Malaysia,32365999.0,328550.0,99.0
5eff927ac5,mango shake made difference  sg,neutral,night,31-45,Comoros,869601.0,1861.0,467.0
1f1e8040cb,watch it,neutral,morning,0-20,Cambodia,16718965.0,176520.0,95.0
a250339cc7,forced eat red hotdogs coz im starving theres nothing else breakfast ick,negative,morning,46-60,France,65273511.0,547557.0,119.0
94dcf0ec77,today check day week  artists way hurray time celebrate another good completed journey,positive,night,70-100,Syria,17500658.0,183630.0,95.0
34cce13acd,never knew,neutral,noon,60-70,Dominican Republic,10847910.0,48300.0,225.0
a841363ad3,oh spoil fun lol,negative,noon,60-70,Bangladesh,164689383.0,130170.0,1265.0
21804d7013,flylady oh deary me  mins enough rescue kitchen shall come back later mow lawn still cool outside,neutral,noon,21-30,Zambia,18383955.0,743390.0,25.0
cf1a0bb3c2,nope kicked habit year ago,neutral,morning,46-60,Kazakhstan,18776707.0,2699700.0,7.0
cae8182ef8,nope idea ive registered far response,neutral,night,31-45,Suriname,586632.0,156000.0,4.0
546afe7ef5,brooklyn went hard back top st hajjisyea s,negative,noon,21-30,Gabon,2225734.0,257670.0,9.0
6ed347b1a5,finally got call marriage counseling  days late,neutral,noon,60-70,United Arab Emirates,9890402.0,83600.0,118.0
f239f1daf6,link sent tax relief web page,neutral,noon,21-30,Bhutan,771608.0,38100.0,20.0
4aeeea3442,mexican thats im craving,neutral,night,70-100,Guatemala,17915568.0,107160.0,167.0
0ec21bdfaf,happy star wars day  may fourth you,positive,noon,60-70,Bangladesh,164689383.0,130170.0,1265.0
ebc56300cb,well ran beer left sure eta waiting waiting waiting bleh gonna long nite methinks,negative,morning,0-20,Latvia,1886198.0,62200.0,30.0
a42cc50619,hummmmm ohh miss much really hope nice friends like us ,neutral,noon,21-30,Israel,8655535.0,21640.0,400.0
8447a5d54f,reference dress either sounds like lh good fopp buy,positive,night,31-45,Liechtenstein,38128.0,160.0,238.0
6f33b9e82c,love dawn replicants love music monday,positive,night,31-45,Madagascar,27691018.0,581795.0,48.0
76390ef87f,miss dance friends too,negative,morning,0-20,Norway,5421241.0,365000.0,15.0
0e3f632892,im sorry im neglecting you twitter,negative,morning,46-60,Ireland,4937786.0,68890.0,72.0
8c932ad57c,really awesome,positive,night,31-45,Netherlands,17134872.0,33720.0,508.0
e4d6a48aa7,awaiting reply two projects one cancelled,negative,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164.0,17200.0,67.0
65473dec6e,no back th,neutral,morning,0-20,Papua New Guinea,8947024.0,452860.0,20.0
15720688cb,less rain sunshine,neutral,morning,0-20,Democratic Republic of the Congo,89561403.0,2267050.0,40.0
e2d584b2b5,thanks following ,positive,night,70-100,Croatia,4105267.0,55960.0,73.0
e4a721ba63,hey tweepsgood morning wussup americatalk tell wuts ur mind,positive,morning,0-20,Latvia,1886198.0,62200.0,30.0
2773197443,love twitter,positive,night,31-45,Cabo Verde,555987.0,4030.0,138.0
1ee0b44db0,ohoh missed ur tweets im gonna stay awake night see announcement now  time difference,negative,noon,21-30,Somalia,15893222.0,627340.0,25.0
865cca6aa3,_i yeah poor yao hope u fun looking lakers jerseyz haha enjoy ur time buddy ,positive,night,70-100,Liechtenstein,38128.0,160.0,238.0
007c328118,watched online sicistheheartofoursoulcomsearchlabelniptuck last  episodes s,neutral,noon,21-30,Switzerland,8654622.0,39500.0,219.0
f7afbbafe4,eh ive gotta go bed anyways goodnight,neutral,night,31-45,Russia,145934462.0,16376870.0,9.0
3fde8e7e99,egg whites  grain toast yup,neutral,noon,21-30,Botswana,2351627.0,566730.0,4.0
8f7a930625,library friggin bored,negative,night,31-45,Barbados,287375.0,430.0,668.0
b68026044b,jus planted garden backyard,neutral,noon,21-30,Zambia,18383955.0,743390.0,25.0
56629dc29e,whos one always working now oh yeah still me,neutral,noon,21-30,Poland,37846611.0,306000.0,124.0
2b25ed113e,made animated holiday card thingy sgdyjpq  shh tell mom yet surprise,neutral,noon,21-30,Switzerland,8654622.0,39500.0,219.0
bdf3c84851, days allweb im still tired,negative,noon,21-30,Romania,19237691.0,230170.0,84.0
d70595e011,miss guys,negative,morning,46-60,Mongolia,3278290.0,1553560.0,2.0
2ba019a42f,iam eating pizza want some haha,neutral,night,70-100,Laos,7275560.0,230800.0,32.0
215a59dfc1,want cafe latteeeeeeeeeee,neutral,noon,21-30,Montenegro,628066.0,13450.0,47.0
440d887e34,missed todayi know must feel tired give massage tonight,negative,morning,46-60,Brunei,437479.0,5270.0,83.0
9006dda75f,looooove star trek runs family,positive,night,31-45,Saint Lucia,183627.0,610.0,301.0
86c762889d,come sick onewith inflamed vocal cords,negative,morning,46-60,Belarus,9449323.0,202910.0,47.0
e8aeca1025,started great mothers day season,positive,noon,21-30,Mauritius,1271768.0,2030.0,626.0
9aadd73fe8,moveout fun thank vt students working make vt best possibly,positive,night,70-100,Kiribati,119449.0,810.0,147.0
8a16f7dd37, people following people follow please x,positive,night,70-100,Panama,4314767.0,74340.0,58.0
8c52b2aa94,going see angels demons tonight better scare me,neutral,night,70-100,Suriname,586632.0,156000.0,4.0
7c5d5895c7, oh cool d im going like bunchh jb shows summer broke though haha,neutral,noon,60-70,United Arab Emirates,9890402.0,83600.0,118.0
254546cd2c,whats sad actually google term sucks tho,negative,night,70-100,Russia,145934462.0,16376870.0,9.0
90d95ff1d2,hey love whats up voice shot whats new,positive,noon,60-70,Switzerland,8654622.0,39500.0,219.0
11c31da058,get job keep applying schooli want teach,neutral,noon,60-70,Venezuela,28435940.0,882050.0,32.0
f05097eb3c,loves jeff lynne enjoy sitar work kinda weird own spose,positive,morning,46-60,Austria,9006398.0,82400.0,109.0
28b7c4e7a3,oh no hope bad sounds,positive,night,70-100,Kiribati,119449.0,810.0,147.0
44f7d98e16,aaahhhjust woke up feels good sleep monday,positive,morning,0-20,Belarus,9449323.0,202910.0,47.0
c96c82bebb,im worn out week sped soo fast gonna ask mum go movies im desperate,negative,night,31-45,Saint Lucia,183627.0,610.0,301.0
aa189955b1,expensive,negative,noon,60-70,Togo,8278724.0,54390.0,152.0
64ddc1f8a2,sick stomach headache wish someone could come rub temples,negative,morning,0-20,Austria,9006398.0,82400.0,109.0
6015712a8c,long take,neutral,morning,0-20,Indonesia,273523615.0,1811570.0,151.0
8305cf1582,ah good glad useful,positive,night,70-100,Italy,60461826.0,294140.0,206.0
c7e8e03aaf,decided study finger throat making gaging noises hate mfs,negative,noon,21-30,Venezuela,28435940.0,882050.0,32.0
f0d97a3652,dude sun here,neutral,night,31-45,Barbados,287375.0,430.0,668.0
cb7359a0d8,im homeon friday night good,positive,noon,60-70,Luxembourg,625978.0,2590.0,242.0
ebcdf07ac5, week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces starting emerge hand ouch,negative,morning,0-20,Malawi,19129952.0,94280.0,203.0
d2679b98ab,chilling home,positive,morning,0-20,Bahrain,1701575.0,760.0,2239.0
eef36565ea,maxxie anwar ep  think one next,neutral,noon,21-30,Oman,5106626.0,309500.0,16.0
c5ea563f80,new followers pretty cool peeps check em out,positive,night,70-100,Slovenia,2078938.0,20140.0,103.0
44bd919c30,happy mothers day everybody,positive,night,70-100,Equatorial Guinea,1402985.0,28050.0,50.0
81a218143d,_vincent  missed party bought wine everything,negative,noon,21-30,Israel,8655535.0,21640.0,400.0
106d853e53,clownin since got flooded htown april got repaired thought,neutral,noon,21-30,Myanmar (formerly Burma),54409800.0,653290.0,83.0
cb4930bc8a,jodies played sims till daddy picked yesterday basically social time,neutral,night,31-45,Bahamas,393244.0,10010.0,39.0
13fbc75291,going church morninghappy mommas day almost,positive,noon,60-70,Somalia,15893222.0,627340.0,25.0
df8a61bec5,certain tweets write spot messages person group pornstar tweets usually get deleted within hour,neutral,morning,46-60,Turkmenistan,6031200.0,469930.0,13.0
5613ccc7db,im brooklyn im suppose sleep inill call  ladybug,neutral,morning,0-20,Ukraine,43733762.0,579320.0,75.0
fee94735e2,turns im really like sixty years old guys right im seek future little later planned,neutral,night,31-45,Panama,4314767.0,74340.0,58.0
713242726f,mines curly atm want mine straight lmao,neutral,night,70-100,Djibouti,988000.0,23180.0,43.0
756a6abdba,loved blog musicares event good work,positive,morning,46-60,Timor-Leste,1318445.0,14870.0,89.0
9ff3e87437,raining denver course,neutral,noon,60-70,Moldova,4033963.0,32850.0,123.0
e2b9a690b8,kinda funny sorry ur still favorite tho,neutral,morning,0-20,New Zealand,4822233.0,263310.0,18.0
497470c5f8,im bad trying get live dream rule world saving super hero costume,neutral,noon,60-70,Montenegro,628066.0,13450.0,47.0
0acf4e4fd9,_pax sucks,negative,night,31-45,Jordan,10203134.0,88780.0,115.0
646c6efbdd,missed guys morning im tacoma w kgw start day,negative,night,31-45,Panama,4314767.0,74340.0,58.0
ee7ec11615,,positive,night,70-100,"Eswatini (fmr. ""Swaziland"")",1160164.0,17200.0,67.0
b2986c944a,done fkn exam n bought mothers day gift finally tada new prada fragrance going meet mum n fam  ,neutral,night,31-45,Antigua and Barbuda,97929.0,440.0,223.0
87e431c57e,palms itchy mean something coming great deal money,positive,night,70-100,Marshall Islands,59190.0,180.0,329.0
48b41c2f95,last late late pat kenny bless,neutral,night,70-100,Cabo Verde,555987.0,4030.0,138.0
b4966942ca,wanna leave nd period cryy,negative,morning,0-20,Liberia,5057681.0,96320.0,53.0
2b603d3169,last class scott julie today going miss them bought bottle champagne congratulatory gift,neutral,morning,0-20,Greece,10423054.0,128900.0,81.0
cc1e5cf079,want walk you x,neutral,night,31-45,Brazil,212559417.0,8358140.0,25.0
ebf0770afc,everything cool now wish boy able talk,positive,morning,0-20,Ireland,4937786.0,68890.0,72.0
0afb0b5fff,edinburgh chinese yum better take wee haggis hes cryin dunno tho xox,neutral,morning,0-20,Papua New Guinea,8947024.0,452860.0,20.0
de3335cf8a,go antigravity chamber tell gravity suck it,neutral,noon,21-30,Montenegro,628066.0,13450.0,47.0
a875ccc879,work got back percent monday feeling,neutral,night,31-45,Panama,4314767.0,74340.0,58.0
a3406231ff,sooo tired wish time nap work,negative,night,31-45,Bolivia,11673021.0,1083300.0,11.0
355bf6107f,twitter  tweet tweet,neutral,noon,60-70,Seychelles,98347.0,460.0,214.0
87e4d6ee0f,reeeejuvinated bored hell,neutral,night,31-45,Comoros,869601.0,1861.0,467.0
7f0cdc1ac1,doesnt want anymore,negative,noon,21-30,Tuvalu,11792.0,30.0,393.0
c5ab886df0,daaammmnnnnn wish there,negative,noon,21-30,Togo,8278724.0,54390.0,152.0
23ea783065,really wish could,positive,night,70-100,Slovenia,2078938.0,20140.0,103.0
108bff6f90,im trying convince wait bit see up well want see,neutral,morning,0-20,Congo (Congo-Brazzaville),5518087.0,342000.0,16.0
503807fbe9,want go sixth period,neutral,night,31-45,Turkey,84339067.0,770000.0,110.0
8a4d03ab8d,poor dear fellow  mavens there gym belong to peac,negative,noon,60-70,Malaysia,32365999.0,328550.0,99.0
c5bee8f356,chillin im bit bored boohoo ,neutral,morning,0-20,China,1439323776.0,9388211.0,153.0
d14b33ede0,_breez yer please do good day,positive,noon,21-30,Grenada,112523.0,340.0,331.0
f967bf59fb,too found little late afford,negative,morning,46-60,Mozambique,31255435.0,786380.0,40.0
a153babf33,start true franchise online mode dynasty huge madden online league much,neutral,night,31-45,Bolivia,11673021.0,1083300.0,11.0
7dcf8bef3a,_ hey watch post many adverts twitter feed normally follow blog interesting,positive,night,70-100,Guyana,786552.0,196850.0,4.0
78dbc5841a,getting ready head camp allen unless somethings changed means phone service  hours,neutral,noon,21-30,Togo,8278724.0,54390.0,152.0
77132d49aa,thanks actually first got twitter pictures upload either upload takes,positive,noon,60-70,El Salvador,6486205.0,20720.0,313.0
aa21f7ccbb,haha tooooo miss havnt seen ages,negative,noon,21-30,Mauritius,1271768.0,2030.0,626.0
2fb2fc139e,big fan danny dyer say movie looks awesome httpsnurlcomhpwnz,positive,noon,21-30,El Salvador,6486205.0,20720.0,313.0
42ae274b9b,roughly cleaned room heading pablos read,neutral,night,70-100,Barbados,287375.0,430.0,668.0
b442a0a793,expected warm usual im stuck wearing sun dress cold day,negative,noon,21-30,Switzerland,8654622.0,39500.0,219.0
f364919d1b,feel like getting,negative,night,70-100,Jordan,10203134.0,88780.0,115.0
1307cc3ab9,ok shed tears watching preview next weeks medium im scared im addicted show love,neutral,noon,60-70,Tunisia,11818619.0,155360.0,76.0
e144ff3003,thanks love word crikey like sayin,positive,noon,60-70,Lebanon,6825445.0,10230.0,667.0
7aea93e983,needs stop taking photos peoples cameras luckily photos delivered,positive,noon,21-30,Samoa,198414.0,2830.0,70.0
c860b3f840,hope everyone great week let know think im crazy hating coffee xd,neutral,morning,0-20,Ireland,4937786.0,68890.0,72.0
36a699ffeb,bus rolling along faster expected might make home  maybe,positive,night,70-100,Comoros,869601.0,1861.0,467.0
a380bdcd2d,_ritz alrighty thnx good night,positive,noon,60-70,Armenia,2963243.0,28470.0,104.0
bdd663dd3f,girl big hair rock today black velvet baby  ,neutral,night,31-45,Marshall Islands,59190.0,180.0,329.0
e3da651d2d,violent fightclub like  dream involving heavily tattooed ladies wanna wake up lol,positive,noon,60-70,Romania,19237691.0,230170.0,84.0
01531ef92b,shoot voted somehow looked  boo hiss forgive great weekend arik,neutral,morning,0-20,Palau,18094.0,460.0,39.0
8e6b7e6a01,love chocolate must pms,positive,noon,60-70,Saint Kitts and Nevis,53199.0,260.0,205.0
75f2fb4097,miss daddy much,negative,morning,0-20,Vanuatu,307145.0,12200.0,25.0
f26e00d396,thats bad,negative,morning,0-20,Dominica,71986.0,750.0,96.0
32664c1ccf,good morning fella joy work today plans,positive,noon,21-30,El Salvador,6486205.0,20720.0,313.0
28cfbe48ad,hahaha thanks clearing,positive,noon,21-30,Cyprus,1207359.0,9240.0,131.0
f59d8d766f,know suck data plan weak sauce,negative,night,31-45,Australia,25499884.0,7682300.0,3.0
8e5f9c7b1e,well send email pick fave cake ice cream flavor cup part belgian chocolate,neutral,night,31-45,Liechtenstein,38128.0,160.0,238.0
f3d9d6947b,u funny u right like bsb im fan u love much better tupac  tlc bad theyre singing anymore,neutral,noon,21-30,Tuvalu,11792.0,30.0,393.0
6d1f4d0d46,fairly upset fact twitterbgt session commence without sam,negative,night,70-100,Jordan,10203134.0,88780.0,115.0
1f8667cb8a,big sis moved day gna b weird without her x,negative,night,31-45,Madagascar,27691018.0,581795.0,48.0
6732a69187, try pei wei closed cant try there,neutral,morning,0-20,Democratic Republic of the Congo,89561403.0,2267050.0,40.0
02923558cc,taxi q pelangi super loooong im getting headaches hotcold transition,negative,morning,46-60,Ukraine,43733762.0,579320.0,75.0
8cfba7dce3,good morning yes am,neutral,noon,60-70,Angola,32866272.0,1246700.0,26.0
0bc3d2ce9f,im feeling nostalgic im sad happy feel over time feels over love you,positive,morning,46-60,Papua New Guinea,8947024.0,452860.0,20.0
927d22251d,great house sell you comes complete riding mower,positive,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164.0,17200.0,67.0
