ID,Tweet,Sentiment,Time,Age,Country,Population -2020,Land Area (Km²),Density (P/Km²),Ground Truth
9d605483af,    Mc  John  sim posit  3 yr passed  no  softees   stranded without warren tea out  tech spec  kaching !!,neutral,morning,0-20,Timor-Leste,1318445,14870,89,df
20290b6985, That`s gorgeous. I`ll check out your new pics!,positive,noon,60-70,Denmark,5792202,42430,137,happiness
c2484278c9, 120mm films usually handled at Fuji  Oh I met a girl at San Diego. Kwento soon. I miss youuu!,negative,night,70-100,Sierra Leone,7976983,72180,111,happiness
51f650a1a9,  glad you liked it-  he`s done loads of arrangements but that was the only one i could find on blip,positive,morning,46-60,Dominica,71986,750,96,happiness
54477f9f5c,melissa_leah: my car wont start.......,negative,morning,46-60,Ireland,4937786,68890,72,sadness
9c52e5ba66,"@_xotashhh I love having days off school, I had one on friday too",positive,night,70-100,Pakistan,220892340,770880,287,happiness
4e93939f99,??? weekend standby duty??????????????????????????????????????????????????,neutral,noon,60-70,Libya,6871292,1759540,4,df
34b20a06ef,"  AWOOOOGAHHHHHH!!!! heheee hope you get some decently priced breakfast real quick, David",positive,night,31-45,Senegal,16743927,192530,87,happiness
66095230ee,Spending QT with the hubby,positive,night,31-45,United Kingdom,67886011,241930,281,happiness
be266a8cef, Huh. I`ll have to try that (for no other reason then just to try it,neutral,noon,60-70,Fiji,896445,18270,49,df
0435d42f80,"MAD AS HELL! SOMEONE STOLE MY PINK & BLACK LEAPORD PRINT PUMPS I WANTED TO WEAR TODAY  BUT TO GOD BE THE GLORY, HE`LL BLESS ME ABUNDANTLY",negative,night,31-45,Mexico,128932753,1943950,66,anger
54fb6ac46e, Kisses! or its screwed. i`ll be a raggy old cat woman ha i`m pretty sure of it,negative,noon,60-70,Samoa,198414,2830,70,happiness
aff624f133, thanx Tom  love u too !!!!!!!!!!!!!!!!!!!!!!! have a great day,positive,morning,0-20,Vanuatu,307145,12200,25,happiness
0ba8d6cdb3, actually was planning on working @ w12th but alas meetings kaiboshed that plan,neutral,morning,46-60,Kazakhstan,18776707,2699700,7,df
4633886fcf,down side = i have a seat by myself  loner. please be a starbucks there.,neutral,morning,0-20,Egypt,102334404,995450,103,sadness
4ce03d596c, I am doing the same  I want to travel a little!,neutral,noon,21-30,Grenada,112523,340,331,happiness
fff190b4af,What a burden. Abit of a fail lunch with Dan,negative,night,31-45,Ecuador,17643054,248360,71,sadness
bc6cc9565c,Still raining here in The Bay...I forget what sunshine looks like !,negative,night,31-45,Pakistan,220892340,770880,287,sadness
26702e60d9, i had a dream that u didn`t like me,negative,night,31-45,South Africa,59308690,1213090,49,sadness
99f9b82224,   Happy mother`s day to your moms.,positive,morning,46-60,Norway,5421241,365000,15,happiness
03a3f63189, I fee your pain its lady Ga Ga and It will drive you insane oh dear God her songs are in my head,negative,night,70-100,Madagascar,27691018,581795,48,fear
b2fa4959e7,http://bit.ly/LaZEL  Wow Christian Lacroix bankrupt.. sad,negative,noon,60-70,Guinea-Bissau,1968001,28120,70,sadness
fc9b461812," Good plan, Peg --plus I like the sound of 'Money Monday'",positive,night,70-100,Zimbabwe,14862924,386850,38,happiness
9834c18bbd,waitin for some Fall out boy,neutral,noon,60-70,Angola,32866272,1246700,26,df
2a9765b7f9,I give in to easily,negative,night,31-45,Gambia,2416668,10120,239,sadness
ce6a3a4f2f,Standing ovation for Wieters. Nobody was sitting down. Insane. Hit into double play though,positive,noon,60-70,Armenia,2963243,28470,104,df
b3edc4f9bb,"have to stay away from home, and since this part of india dnt hav gud wireless internet, im ****",negative,night,31-45,Thailand,69799978,510890,137,sadness
ad6c3de0ae, saying goodbye to something familiar never becomes familiar,negative,night,70-100,Croatia,4105267,55960,73,sadness
cb485c99a5,Starting to get sad.,negative,night,31-45,Ghana,31072940,227540,137,sadness
4c2e5f9b2c,   Hi Bruce  I am trying to eat healthy!  It`s kinda scary when I read 'Eat this Not that'  maggots and rat hair in our food,neutral,night,31-45,Namibia,2540905,823000,3,fear
b77945b86e," whaa?  you really should.  2 and 3 are definitely optional, though.  I liked them, but I`m also crazy.",positive,morning,46-60,Nauru,10824,20,541,df
3932877e2b, dammit i had the passes but i am still at work,negative,morning,46-60,Dominica,71986,750,96,anger
4c8908e55c, Not any more.,negative,noon,21-30,Tuvalu,11792,30,393,df
63a116ae1b," did you see the 15 sec clip of the New Moon trailer?? its up on ETonline.com ...check it out. its a big tease, though",negative,morning,0-20,Austria,9006398,82400,109,surprise
9352776c41,today has been the longest day EVER! going to sleep.. beach bound tomorrow  good night twitter,neutral,morning,46-60,Bosnia and Herzegovina,3280819,51000,64,disgust
f36ca75512," Ashlie, thank you.  You made me feel a little better.",positive,noon,21-30,Fiji,896445,18270,49,happiness
32c20a8817,I`ll guess I will see everyone after the weekend  Gunna be having major Tweet cravings the entire time!!...,neutral,morning,0-20,Bahrain,1701575,760,2239,sadness
95410148bf,"little beetle not feeling any love  Searches are bring up zilch, bar 2 peeps that appear funny !!!",positive,night,31-45,Suriname,586632,156000,4,sadness
a0e2fdc0e2, in june. the 6th. a sat!,neutral,night,31-45,Guatemala,17915568,107160,167,df
8d1413e0fa,Negghead mix on the air!   http://tinyurl.com/ckdwao,neutral,morning,0-20,Rwanda,12952218,24670,525,df
3eab4d3d25,"_joyner And he can`t even tell me.  Me and him are **** done, professionally. ****` ****.",negative,night,31-45,United Kingdom,67886011,241930,281,anger
b7593875b9,It hurts to breathe again.. Why?,negative,morning,0-20,Nauru,10824,20,541,fear
c6d0332935," aww , its ok,we ended up getting in later than expected and didnt go...I would of called you if we were able to, ...C U N Austin,",neutral,morning,0-20,Yemen,29825964,527970,56,sadness
69ddcd6dfb,Hahah. Love them!,positive,morning,46-60,Singapore,5850342,700,8358,happiness
af36799256, then you must insist you write essays the twitter way - no more than 140 characters,neutral,morning,0-20,United States of America,331002651,9147420,36,df
822f5140fb, Neither could i! And i looked on ebay and it was like 250 euro for two!!!! but i doubt my parents would fork that amount out,negative,night,31-45,Equatorial Guinea,1402985,28050,50,sadness
990cdeae87, I want to see David cook!!,positive,morning,46-60,Mali,20250833,1220190,17,happiness
023a512e52, hahha I don`t do drugs though,neutral,morning,0-20,Congo (Congo-Brazzaville),5518087,342000,16,df
fe0573baea, I love #polaroid - such a shame they don`t make the film for it anymore,neutral,night,70-100,Zimbabwe,14862924,386850,38,sadness
0c640602c2,to spend the weekend...to not spend the weekend.....that is hte question that is on my mind...,negative,noon,60-70,Chad,16425864,1259200,13,df
6a5ec5682e,"so ready for dc tomorrow, photo trippin`",neutral,noon,60-70,Lebanon,6825445,10230,667,happiness
04510889b6,"_Kill_Boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana",negative,night,70-100,Liechtenstein,38128,160,238,df
a0fc51cb4d,"weekend with my cuzzo Vivi, I can`t stand to have her leave me in 3 weeks",negative,morning,0-20,Mozambique,31255435,786380,40,sadness
c8f8d43d40," the balance is ~$8,000. unfortunately i havent been able to find a card that has a limit high enough to transfer the whole thing",negative,noon,60-70,Romania,19237691,230170,84,sadness
2f4647bf36, Sadly no robot songs in my library.,negative,morning,0-20,Dominica,71986,750,96,sadness
052fbbb0a9,Sat alone whilst jay plays on his phone,neutral,night,31-45,Cabo Verde,555987,4030,138,sadness
2fbae49319,#f1 in a few hours guess who is sleepin in the living room,neutral,noon,60-70,Israel,8655535,21640,400,df
060ea6c6c8,Ok super bored... guess no one else it,negative,noon,60-70,Somalia,15893222,627340,25,sadness
4bc2de8a68,sadly awake. wondering about contact info for all of the fun folks I hung out with at the shop. YAY 23b!!! Miss you guys,negative,noon,21-30,Zambia,18383955,743390,25,sadness
68503bdeea,I love Stereosound HQ headphones,positive,morning,0-20,Argentina,45195774,2736690,17,happiness
397392f0d9, WORD!!!!!,neutral,night,31-45,Algeria,43851044,2381740,18,df
6e3eca51b2, It`s kind of like your birthday is 3-days long!,neutral,night,70-100,Comoros,869601,1861,467,df
a3527a3ccc,"J, sorry about the bad night, hopefully my workout updates gave you a little humor in your night..",neutral,morning,46-60,Solomon Islands,686884,28000,25,sadness
28b70015d2,"Energy steadily increasing, thankfully, but the cough isn`t going away.",neutral,night,70-100,Uzbekistan,33469203,425400,79,sadness
20771a6d9a,"So anyone looking for a vinyl-clad playset with a 30 year mfr warranty? 3 slides, 4 swing slots, rock climbing wall, more! Amish built!",neutral,morning,46-60,Congo (Congo-Brazzaville),5518087,342000,16,happiness
6beb4754f0, I agree. Everybody would`ve been excited and then it goes... ohhhh nooooo..... MS screws up again..,neutral,morning,46-60,Cuba,11326616,106440,106,sadness
89e4eed832, don`t have one yet  but hopefully I`ll be ponying up for one soon because this 15' is definitely hitting a wall,neutral,night,70-100,Uzbekistan,33469203,425400,79,sadness
9ccb1bcd26," Ha Thats good. Thats why I love my boys, cos they never stir up the hatred that the mighty red scum do  Everyone loves City",positive,noon,60-70,Fiji,896445,18270,49,happiness
2ef487bd7d," last night after long drive, slept really well, now time for dino`s wasstraat",positive,noon,60-70,Somalia,15893222,627340,25,happiness
da769e9be5, Dear god i hope they save it.  http://www.the-impossible-project.com/,positive,morning,0-20,Norway,5421241,365000,15,fear
bc21202d07,soooo sleepy.  but gotta finish this game.  lol. gettt it cavs!  whoop whoop,neutral,night,70-100,Maldives,540544,300,1802,happiness
f172eab046,i used to have an ozzy osbourne pillow. my mom threw it out. i miss that thing.,negative,night,70-100,Tonga,105695,720,147,sadness
e41ae07da9,Twitter is useful in that it reminds people what they forgot to ask me about on a given day. It is also excellent for inspiration,negative,night,31-45,Algeria,43851044,2381740,18,happiness
9f85050671,Waiting in a long line at chick-fil-a,neutral,morning,0-20,Benin,12123200,112760,108,sadness
d5ebd5f984, You win ... SIGH Rakeem,positive,night,31-45,Australia,25499884,7682300,3,df
6bd4a0b146,Heading home from Sacramento.  Will continue writing the WIndows Server 2008 R2 Unleashed book over the weekend.  Sigh  #windows,neutral,night,31-45,Maldives,540544,300,1802,df
0d85e6d515,"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",positive,night,31-45,Lesotho,2142249,30360,71,happiness
325f5384f6,Why doesn`t McDonald`s make PINEAPPLE pies?,neutral,night,31-45,Tonga,105695,720,147,sadness
9321f3b74b, Your welcome.,positive,noon,60-70,Fiji,896445,18270,49,df
d8867e4d4e, I`m not posh enough to read Tatler,neutral,noon,60-70,Sudan,43849260,1765048,25,sadness
b333707153,also. proof number #2923848932 that I have no life - I have an imaginary boyfriend named Vince. It`s sad that my friends encourage me so.,negative,night,70-100,Saint Lucia,183627,610,301,sadness
ae46261e69,So confused about what to do?,neutral,night,70-100,Mexico,128932753,1943950,66,df
4bf8205ece, hey!  sorry for the late reply.but i do plan on posting on both facebook and twitpic.,negative,night,70-100,Maldives,540544,300,1802,df
2a7ced36f3,the last song all american rejects.......... an amazing song,positive,night,31-45,Turkey,84339067,770000,110,happiness
f87ca95b1d, Joe just put a new bulb in my spotlight,neutral,morning,0-20,Georgia,3989167,69490,57,happiness
7a863bc462,Watched Wolverine yesterday ... a spur of the moment kinda thing. Awesome! So proud that a South African director did that,positive,noon,60-70,Somalia,15893222,627340,25,happiness
21262aff48, and  thanks  hoping its just allergies and not a nasty flu!,positive,noon,21-30,North Korea,25778816,120410,214,fear
1608eddffc,Ok so my sister is going camping I`m so mad because i have to work tomorrow      have fun,neutral,night,70-100,San Marino,33931,60,566,anger
cc6aa5d2b3, Not here in Stamford.,neutral,noon,21-30,Kyrgyzstan,6524195,191800,34,df
b74a9b6a6b,I want to wish HAPPY MOTHER`S DAY to my two favorite moms in the world: My own mom of course  and my sister!!! HAPPY MOM`S DAY TO YOU TWO!,positive,night,31-45,Belize,397628,22810,17,happiness
80a43d94a8," Hey JK...Wish Evenlyn a Happy Mothers Day tomora for me..I had a Great Day, my gift will be tickets to see ya`s ere in Oz",positive,night,70-100,Liechtenstein,38128,160,238,happiness
73e548424b,I missed the math trade,negative,morning,0-20,Cambodia,16718965,176520,95,sadness
97a44eeb2c," Sure, I`ll be in chat in a sec   Here`s the thread http://tinyurl.com/ojcf5l",neutral,noon,21-30,Iran,83992949,1630000,52,df
2a20862961," It`s been raining the past few days but it was actually sunny today! Well, for a little while. Now it`s super cloudy!",neutral,noon,21-30,Belgium,11589623,30280,383,sadness
95e24ff91a,IE8 nearing 6% according to my stats. FF 3.0.10 adoption rate amazes me,positive,morning,0-20,Sweden,10099265,410340,25,df
5eaa57f29f,Gardening stuff I ordered got returned to sender because it was damage  need to work out how to get to a garden centre.,negative,night,31-45,Slovenia,2078938,20140,103,sadness
811ac4eeca,One lane stop and go trafffffffic suckssss! Almost to wwork thanks to **** miinnnesota roads,negative,night,31-45,Bolivia,11673021,1083300,11,anger
165bcbe519, YES!! I wanna come hang out with my H-TOWN gurl u know whats up!! haha  it`ll be bangin! We gotta hang out chick,positive,morning,0-20,Lithuania,2722289,62700,43,happiness
2ebb6270b5, Yucky!  Time to bring out the vaccuum and go to War. Our house is always a spider haven for some reason. Not cool.,negative,night,70-100,Marshall Islands,59190,180,329,disgust
f591304aec,"Thought i saw the a-trak van, turns out its the Alcohol- TEAM van.",neutral,night,31-45,Iraq,40222493,434320,93,df
b7a6df7f96,Leaving for work.. 5:30 can`t get here soon enough!  hope everyone has a great day!,positive,morning,0-20,Greece,10423054,128900,81,sadness
ee5b47b5a9, I know exactly what you are saying.. its so not cool... that is why tapes were better  :p,neutral,night,31-45,Panama,4314767,74340,58,df
ceee292ebc,"Gah, I`m jittery and upset for absolutely NO reason...",negative,noon,60-70,Myanmar (formerly Burma),54409800,653290,83,sadness
922777ecbd,"Am soo happy about today .. the going home bit sucks ,, but meeting everyone will be aceness to the extreme  lol,, am so cheesy :p",neutral,morning,46-60,Bosnia and Herzegovina,3280819,51000,64,happiness
9694a4db08,so yeah...i guess i dont get company this weekend  so who wants to come hang out?,neutral,noon,21-30,Costa Rica,5094118,51060,100,sadness
48a2a08d55,"_pills we have a punching bag here! but ive never touched it, covered with my brother`s sweat.. but u can use it if u want! hehe",neutral,morning,0-20,South Korea,51269185,97230,527,disgust
e1120cc659, Yeah I replied!! I meant to take a photo of my drink but I was laaazy and didnt`  x,neutral,morning,46-60,Micronesia,115023,700,164,sadness
e924fb4417," Oh, will do. I had to bring the soufflÃ¯Â¿Â½ home I`m SO full!  It`s delicious! One of my Philly favs.",positive,night,70-100,Vietnam,97338579,310070,314,happiness
e256f4abbd, aww  but typing from beyond the grave...impressive,positive,morning,0-20,Mauritania,4649658,1030700,5,df
17d1a66db4,No kickboxing classes today  pretty bummed. Still going to work out hard. http://myloc.me/1ZT0,negative,noon,21-30,Holy See,801,0,2003,sadness
ef22d695fd, I`m here if u need to vent!,positive,night,31-45,Finland,5540720,304000,18,happiness
5a9e4ad38a,I am listening to the music of Super Juniors of Korea. I so like the way they sing and dance. I hope someday i can meet them.,positive,noon,60-70,Albania,2877797,27400,105,happiness
3ab87ba2c0,_DIG up late again I see?  You missed a great time at Donny`s birthday... remember to call him on Monday!,neutral,noon,21-30,Costa Rica,5094118,51060,100,df
882d9426d0,_Willhoit Hoping your A/C is being fixed right now for you!,positive,morning,0-20,Lithuania,2722289,62700,43,happiness
a8da7904ac,I had a great date last night...tried to find the CDCaves with Daniel  it was HILARIOUSLY FUN!!!,positive,noon,60-70,Colombia,50882891,1109500,46,happiness
013854711a, thanks shir  I got caught with the commission once but now I get amazon.com gift certificates and they don`t take one if I do,positive,night,31-45,Bolivia,11673021,1083300,11,df
545b1b920b,"Well poop, my guitar lesson was canceled today  I`m so sad. I hope his son feels better soon tho.",neutral,noon,60-70,Estonia,1326535,42390,31,sadness
a3c03380ec, courtney seems like a cool chick & shes pretty,positive,morning,46-60,Qatar,2881053,11610,248,happiness
49d301ec0d, You don`t want to leave because secretly you know Australia is twenty times better than America!,positive,night,70-100,Suriname,586632,156000,4,sadness
e17b606c9c,Whoishonorsociety <never wear your pajama pants to school  >,neutral,noon,60-70,Albania,2877797,27400,105,disgust
6899e9aa17,waaa the octo drive and i can`t go for it,negative,noon,21-30,Chad,16425864,1259200,13,sadness
0e1dbb950b,babysitting my hubby cam cam,neutral,noon,60-70,Slovakia,5459642,48088,114,df
d1983228a6,twitter has spam!!?? oh no,neutral,morning,46-60,Mozambique,31255435,786380,40,sadness
c675e8a554,"oh yes, happy star wars day.   May the fourth be with you...",positive,noon,21-30,Oman,5106626,309500,16,happiness
d55030a05e,had the best weekend EVER  XXXXXXXXXXXXXXXXXXXXXX,positive,night,31-45,Italy,60461826,294140,206,happiness
dd62e0b336,My stomach hurts so bad,negative,morning,46-60,Burundi,11890784,25680,463,sadness
cc73efff2b,This song is a slap on you face!!  ? http://blip.fm/~5jib6,negative,noon,60-70,Palestine State,5101414,6020,847,df
e2f74fa54c,i was invited to one on the beach but it was too short notice i mean why the hell tell you 2hrs before?? really?,neutral,noon,21-30,Venezuela,28435940,882050,32,anger
40bd163bda,today is going to be a long day,neutral,noon,21-30,Romania,19237691,230170,84,sadness
b8a77cd14c, oks  yes infact we had chatted earlier on n00b.in as well,neutral,night,31-45,Belize,397628,22810,17,df
e97f62830d,"11.40 AM. I don`t wanna wake up. Shoo, roommate, shoo.",neutral,morning,0-20,Micronesia,115023,700,164,sadness
2b6017f8f5,"We are on the slowest train ever, it stops everywhere. Missed a quick train by a few minutes",negative,noon,21-30,Togo,8278724,54390,152,anger
2505a44c46,"damnnn this day came to fast, but i cherished all the moment i had",positive,morning,46-60,Mali,20250833,1220190,17,happiness
81e7d3acf4,  was wong?,neutral,noon,21-30,Armenia,2963243,28470,104,df
5c83af1147, Gourmet pizza = BLEH. Pizza is SUPPOSED to be greasy and filthy. You can`t eat pizza that`s been prepared by a chef.,negative,noon,21-30,Libya,6871292,1759540,4,disgust
8d95271054,"****, hi Facebook ? what`s wrong with you ? can`t add photos",negative,morning,46-60,Saint Vincent and the Grenadines,110940,390,284,anger
85b7cf8a0f," uhh, congrats for your two years anniversary",positive,night,31-45,Peru,32971854,1280000,26,df
cd1a90193c,Happy Mothers Day!,positive,night,70-100,Spain,46754778,498800,94,happiness
2bdb19ccd3, Oh lovely - that is one thing Mum`s are great at!! Sounds yummy!  You are makin me hungry here! lol :-p,positive,morning,0-20,Dominica,71986,750,96,happiness
b761b09fbd,has finished exams.... has (almost) moved out of halls and is leaving london tomorrow,neutral,night,70-100,Marshall Islands,59190,180,329,df
56437e0860, Know exactly what you mean  I`ve lost too many friends. I do feel for you all,negative,night,31-45,Zimbabwe,14862924,386850,38,sadness
a26c1b566d," i`ve sent a twitter invite to poet friends, i`m hoping they will come poetize, would love 2 see more poets here  #poets",positive,noon,60-70,Mauritius,1271768,2030,626,happiness
aac0a4e7c6,Not eating funnel cake at Mag Fest is what I am doing,neutral,morning,46-60,France,65273511,547557,119,df
b7aa227b03, not worth it! I love the free version for the iPhone though!,neutral,night,31-45,Guatemala,17915568,107160,167,df
9ca53f2fb2,"Okay, the man with the hook for a hand is kinda freaking me out right now.",negative,night,31-45,Equatorial Guinea,1402985,28050,50,fear
df398a774e,"  alright...I`m going to get off comp now, go back to ur party  be safe  & have fun!",positive,morning,46-60,Singapore,5850342,700,8358,happiness
6117fbee73, oh **** that sucks,negative,noon,21-30,Azerbaijan,10139177,82658,123,sadness
f8b32c4484, wish you we`re coming to Perth,neutral,night,70-100,Sierra Leone,7976983,72180,111,sadness
ef5c7bb3fa," unfortunetly no  I wish, I mean sometimes like twice a yr they`ll have a party, but not always",negative,morning,0-20,Mongolia,3278290,1553560,2,sadness
dba147c9f9,i just wanna say happy mother`s day to all the mommy`s out there,positive,night,31-45,Spain,46754778,498800,94,happiness
167fb8ca91, Done. Thank you,positive,noon,21-30,Israel,8655535,21640,400,df
a3da084834, must go to strawberry fields!!,neutral,morning,46-60,Bahrain,1701575,760,2239,happiness
6eda368e36,#Happy Mother`s Day euch allen,positive,night,31-45,Barbados,287375,430,668,happiness
a55fe11056," when you get your grill taken care of this morning how about a quick shot of the hands.  Don`t ask why, just do it",neutral,morning,46-60,Nauru,10824,20,541,df
3b50246867,Link per my daughter  us.mobile.reuters.com/mobile/m/AnyArticle/p.rdt?URL=http://www.reuters.com/article/bigMoney/idUS1284981420090508,neutral,morning,46-60,Liberia,5057681,96320,53,df
20f35978fb," I`m up wit cha!! Just got home from da reggae club, wishin I was sexin somebody!!!",positive,morning,0-20,Democratic Republic of the Congo,89561403,2267050,40,sadness
4e9f3e5a03," i heard one of your songs, and you have an amazing voice  i was stunned",positive,noon,21-30,Libya,6871292,1759540,4,happiness
346ce6428b,"Bleargh. I can never clean as much of my house as I want to before work, no matter how early I wake up. Today: sink, laundry.",negative,morning,0-20,Central African Republic,4829767,622980,8,sadness
1ca884fc2c,C-News wasn`t as bad as I expected... could have done better... but today we did a great show...,positive,morning,46-60,Egypt,102334404,995450,103,surprise
bcb1b79e4f, Haha of course! That`s my favorite album of all time,positive,night,70-100,Iraq,40222493,434320,93,happiness
78bfe50327,"G*morning! Rain, rain and more rain.. ! But I don`t care so much",negative,night,70-100,Portugal,10196709,91590,111,sadness
e5b5debcdc, .. .great.. you can buy me lunch when i get my 10-15% pay cut next month..,positive,night,31-45,Brazil,212559417,8358140,25,sadness
6b51e69aa9, what are u doing now ??,neutral,noon,60-70,Iran,83992949,1630000,52,df
930dd5f91d,"At work   leave for Berlin at 17:00 by car, will be a late arrival",neutral,night,31-45,Uganda,45741007,199810,229,df
4213627c3c,I still smell of smoke  #kitchenfire,neutral,noon,60-70,Guinea-Bissau,1968001,28120,70,disgust
f023803c3e,Got the news,neutral,morning,0-20,Malawi,19129952,94280,203,df
558eca05f1,  i can`t call you im from Mexico and i don`t know the code,neutral,morning,0-20,Saint Vincent and the Grenadines,110940,390,284,sadness
04b6314652, I`ma say you should smudge yourself before I start calling people given the malicious action we pulled the other night,negative,morning,0-20,Brunei,437479,5270,83,fear
5ee98dd6dc,...definitely the first time I`ve felt alive again in years. Super happy,positive,night,70-100,Monaco,39242,1,26337,happiness
200a6a20e1, I`m going to Cali in like two weeks! But it`s nor cal,neutral,noon,21-30,Bangladesh,164689383,130170,1265,happiness
e47fb0bfe5,Stupid freshmen ruined theatre class.. Now we don`t get to play warm-up games for the rest of the school year,negative,noon,21-30,Mauritius,1271768,2030,626,anger
0da5b1c605,Its so dead,negative,noon,21-30,Japan,126476461,364555,347,sadness
ef30751b05, that`s sad,negative,noon,21-30,Botswana,2351627,566730,4,sadness
d32958f921,SCHOOL IS FINALLY OVER NO MORE TEST OR WORK YES!!!!!!! But im gunna miss alot of ppl,negative,night,31-45,Namibia,2540905,823000,3,happiness
67e9b94dcf,boys and girls lie? awww is santa not real either?,neutral,night,70-100,Tonga,105695,720,147,anger
fec7fab22d,gotta get up in a few hours...booo  gooodnight!,neutral,morning,46-60,Micronesia,115023,700,164,sadness
f78d0594ce,"Bread in the oven, room cleaned... almost done with the things on the list for today",neutral,night,31-45,Panama,4314767,74340,58,happiness
e4a8bc33d2, hope our wishes come true someday.,positive,morning,0-20,Cuba,11326616,106440,106,happiness
c6bf44e881," Alas, the best I can offer is a small pony and a rowing boat",negative,night,31-45,Algeria,43851044,2381740,18,df
9c44566550,"In Whin Park on the swings, victory is all mine right now",positive,morning,0-20,Congo (Congo-Brazzaville),5518087,342000,16,happiness
4987bf323b, im trying to fix it.. it doesnt do it  and its 'ahi dios mio' but u did good lol,positive,morning,46-60,United States of America,331002651,9147420,36,sadness
e082b8f404,My best friend is coming!excited,positive,noon,21-30,Montenegro,628066,13450,47,happiness
8f2a36da4c,monday morning . lets whip out some code today,neutral,morning,46-60,China,1439323776,9388211,153,df
1b022603d4,Bout to go to bed... Happy Mother`s Day ladies .... especially all th 1s who takin care of thier kids alone..n I Love U Momma,positive,noon,21-30,Malta,441543,320,1380,happiness
9bb06e4848, You should check yourz Rayne.,neutral,night,70-100,Burkina Faso,20903273,273600,76,df
547dd32f1f,my day is going way too fast,neutral,morning,46-60,Trinidad and Tobago,1399488,5130,273,sadness
441dcaef31, Hayley Williams is pretty much amazzing,positive,morning,0-20,Yemen,29825964,527970,56,happiness
04a9c22b52,better finish off an order for this little guy first tho   http://tinyurl.com/cltln9 Time to go   Cheerio an Drasda!,neutral,morning,0-20,Mongolia,3278290,1553560,2,df
0919b2fd2c,"i need to read  fic again, but i lost it",neutral,morning,0-20,Argentina,45195774,2736690,17,sadness
f564af8976,Twitter is slow!,negative,noon,21-30,South Sudan,11193725,610952,18,sadness
756300c03d,And thanks for the gorgeous flowers.,positive,morning,46-60,Latvia,1886198,62200,30,happiness
fc0bf9b8e3,"ah! A clean house...finally, so nice",positive,morning,46-60,Liberia,5057681,96320,53,happiness
6721e006ff,is veryyy upset she cant go to hacienda tonight because the stupid nuggets game,negative,night,70-100,Saint Lucia,183627,610,301,sadness
b00cae87c5,need to leave now.. tweet laters,neutral,morning,0-20,Central African Republic,4829767,622980,8,df
e1dc15f28e,It does! Lol but i have none,positive,night,31-45,Mexico,128932753,1943950,66,df
b943e7969b,So ... Still finishing errands for a trip tomorrow morning where I have to be at airport at 6am.,neutral,morning,0-20,Haiti,11402528,27560,414,sadness
201d52df31, I must of brought the bad weather with me to the states,negative,night,31-45,Burkina Faso,20903273,273600,76,sadness
f65b5577e6, lmao back in queens now,positive,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67,df
2a16bf5fb2, There`s nothing good on tonight anyway!!   #Sigjeans,negative,night,70-100,Comoros,869601,1861,467,sadness
e9ad937f82,_McFly LOL nah ! of course you`ll get the DVD first since you`ve already ordered it. i`ll sign up to Bebo on Tuesday then! lol  ****,neutral,morning,46-60,Micronesia,115023,700,164,happiness
78e2b887a1,my mother is drunk grrrreat.. It`s okay it`s mothers week,neutral,night,31-45,Czechia (Czech Republic),10708981,77240,139,sadness
